Key,Comments,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
map.long.q_hermit,,"Известный своей ученностью отшельник прожил много лет, и наконец скончался. К сожалению, жил он уединенно, и предать его тело огню некому. Священный Синод опасается, что трупный запах привлечет плотоволков и предлагает вам награду, если вы сходите туда и похороните отшельника. ",,,,,,,,,,,,,,,,,"Vị ẩn sĩ nổi tiếng với học thức của mình đã sống nhiều năm và cuối cùng qua đời. Đáng tiếc, hắn sống một mình, cũng không có người đốt xác hắn. Thánh Thượng Hội đồng sợ rằng mùi xác chết sẽ thu hút những con sói đi bè và treo thưởng cho bạn nếu bạn đến đó và chôn cất vị ẩn sĩ."
map.q_hermit.short,,Недавно скончался известный отшельник. Священный синод просит похоронить его,,,,,,,,,,,,,,,,,Một ẩn sĩ nổi tiếng vừa mới qua đời. Thượng Hội đồng Thánh yêu cầu chôn cất ông
map.risk.q_hermit,,"Если вы возьметесь:
- Отношения со Священным Синодом улучшатся 10
- Гарантированное сражение с 2-3 плотоволками
- При высоком интеллекте есть шанс найти книгу",,,,,,,,,,,,,,,,,"Nếu bạn cam kết:
- Mối quan hệ với Thượng Hội đồng Thánh sẽ được cải thiện 10
- Trận chiến được đảm bảo với 2-3 con sói bè
- Trí tuệ cao có cơ hội tìm được sách"
map.menu.quest.description,,ОПИСАНИЕ,DESCRIPTION,DESCRIPTION,POPIS,DESCRIÇÃO,DESCRIPCIÓN,OPIS,描述,描述,説明,설명,BESCHREIBUNG,DESCRIPTION,DESCRIZIONE,AÇIKLAMA,LEÍRÁS,ОПИС,MÔ TẢ
map.menu.quest.details,,Подробнее,Details,Details,Podrobnosti,Detalhes,Detalles,Szczegóły,详情,詳情,詳細,세부 내용,Details,Détails,Dettagli,Detaylar,Részletek,Докладно,Chi tiết
map.menu.quest.consequences,,Возможные последствия,Possible consequences,Possible consequences,Možné následky,Consequências possíveis,Posibles consecuencias,Potencjalne konsekwencje,可能的结果,可能的結果,起こり得る結果,가능한 결과,Mögliche Konsequenzen,Conséquences possibles,Possibili conseguenze,Olası sonuçlar,Lehetséges következmények,Можливі наслідки,Những hậu quả có thể xảy ra
map.menu.quest.reward,,ВОЗМОЖНАЯ НАГРАДА,POSSIBLE REWARD,POSSIBLE REWARD,MOŽNÁ ODMĚNA,RECOMPENSA POSSÍVEL,POSIBLE RECOMPENSA,POTENCJALNA NAGRODA,可能的奖赏,可能的獎勵,獲得し得る報酬,가능한 보상,MÖGLICHE BELOHNUNG,RÉCOMPENSE POSSIBLE,POSSIBILE RICOMPENSA,OLASI ÖDÜL,LEHETSÉGES JUTALOM,МОЖЛИВА ВИНАГОРОДА,PHẦN THƯỞNG CÓ THỂ
map.menu.quest.reward_or,,или,or,or,nebo,ou,o,lub,或,或,または,또는,oder,ou,o,veya,vagy,або,hoặc
map.menu.status.days_left,,Осталось {remain_days} дня,{remain_days} days left,{remain_days} days left,Zbývající dny: {remain_days},Faltam {remain_days} dias,Días restantes: {remain_days},Pozostałe dni: {remain_days},剩余{remain_days}天,剩餘 {remain_days} 天,残り{remain_days}日,{remain_days}일 남음,{remain_days} Tage verbleibend,{remain_days} jours restants,Giorni rimasti: {remain_days},{remain_days} gün kaldı,{remain_days} nap maradt,Залишилося {remain_days} дн.,Còn lại {remain_days} ngày
map.menu.modal.result.success,,Успех!,Success!,Success!,Úspěch!,Sucesso!,¡Éxito!,Sukces!,成功！,成功！,成功！,성공!,Erfolg!,Succès !,Successo!,Başarılı!,Siker!,Успіх!,Thành công!
map.menu.modal.result.fail,,Провал!,Failure!,Failure!,Neúspěch!,Falha!,¡Fracaso!,Porażka!,失败！,失敗！,失敗！,실패!,Gescheitert!,Échec !,Fallimento!,Başarısız!,Kudarc!,Провал!,Thất bại!
map.menu.modal.ok,,Продолжить,Okay,Okay,OK,Ok,Aceptar,OK,好,確定,OK,확인,Okay,OK,Ok,Tamam,Oké,ОК,Được thôi
map.menu.status.timeless,,Бессрочное,Indefinite,Indefinite,Neurčito,Indefinido,Indefinido,Bezterminowe,无限期,無限期,不定,무기한,Unbestimmt,Indéfini,Indefinito,Belirsiz,Meghatározatlan,Невизначено,Vô hạn
map.menu.status.go_home,,Возвращается домой,Returning home,Returning home,Vrací se domů,Retornando para casa,Volviendo a casa,Wraca do domu,返回家乡,返家中,帰還,복귀 중,Kehrt nach Hause zurück,Retour à la maison,Di ritorno a casa,Eve dönüyor,Úton haza,Повертається додому,Trở về nhà
map.menu.quest.ignore,,Игнорирование,Ignoring,Ignoring,Ignoruje,Ignorando,Ignorando,Ignorowanie,漠视,忽視中,無視,무시 중,Ignorieren,Ignoré,Noncurante,Görmezden geliyor,Figyelmen kívül hagyva,Ігнорує,Phớt lờ
map.menu.quest.waiting,,Ожидание,Waiting,Waiting,Čeká,Aguardando,Esperando,Oczekiwanie,等待,等待中,待機,대기 중,Warten,En attente,In attesa,Bekliyor,Várakozás,Чекає,Đang chờ đợi
map.menu.quest.time_over,,Срок соглашения истек,The agreement has expired,The agreement has expired,Dohoda vypršela,O acordo expirou,El acuerdo ha expirado,Porozumienie wygasło,协议已过期,合約已到期,契約は終了しました,협정 만료,Das Abkommen ist abgelaufen,L'accord a expiré,Accordo scaduto,Sözleşmenin süresi doldu.,Az egyezség lejárt,Сплив термін угоди,Thỏa thuận đã hết hạn
map.menu.quest.tragic,,Трагическая случайность,Tragic accident,Tragic accident,Tragická nehoda,Acidente trágico,Trágico accidente,Tragiczny wypadek,悲惨事故,悲劇事故,悲劇的な事故,비극적인 사고,Tragischer Unfall,Accident tragique,Tragico incidente,Talihsiz kaza,Tragikus baleset,Трагічний випадок,Tai nạn thảm khốc
map.menu.quest.bad_opinion,,Плохие отношения,Bad relationships,Bad relationships,Špatné vztahy,Relações ruins,Malas relaciones,Złe stosunki,恶劣关系,關係不佳,悪い関係,나쁜 관계,Schlechte Beziehungen,Mauvaises relations,Pessimi rapporti,Kötü ilişkiler,Rossz kapcsolat,Погані взаємини,Quan hệ xấu
map.menu.quest.hostage_rescue,,Спасение пленника,Rescue of a hostage,Rescue of a hostage,Záchrana rukojmí,Resgate de um refém,Rescate de un rehén,Ratunek zakładnika,营救人质,拯救俘虜,人質の救出,인질 구출,Rettung einer Geisel,Sauvetage d'un otage,Liberazione di un ostaggio,Bir esiri kurtarma,Túszmentés,Порятунок заручника,Giải cứu con tin
map.menu.button.create_army,,Создать новый отряд,Create new squad,Create new squad,Založ novou četu,Criar novo esquadrão,Crear nueva escuadra,Utwórz nowy oddział,创建新部队,新建部隊,新しい部隊の作成,새로운 분대 생성,Neuen Trupp erstellen,Créer une nouvelle escouade,Crea nuova squadra,Yeni bölük oluştur,Új osztag létrehozása,Створити новий загін,Tạo đội mới
map.menu.button.send_army,,Отправить армию,Send army,Send army,Pošli vojsko,Enviar exército,Enviar ejército,Wyślij armię,派遣军队,派出軍隊,軍隊の派遣,군대 파견,Armee entsenden,Envoyer l'armée,Invia esercito,Ordu yolla,Sereg küldése,Відправити військо,Gửi quân đội
map.menu.prepare_to_battle.header,,Битва {place},Battle at {place},Battle at {place},Bitva – {place},Batalha em {place},Batalla en {place},Bitwa ({place}),在{place}的战斗,於{place}開戰,{place}での戦い,{place} 전투,Schlacht von {place},Bataille à {place},Battaglia a {place},{place} savaşı,Csata {place},Битва ({place}),Trận chiến tại {place}
map.menu.prepare_to_battle.in_town,,у ворот {town_name},at the gates of {town_name},at the gates of {town_name},u bran města {town_name},nos portões de {town_name},a las puertas de {town_name},u bram miasta {town_name},在{town_name}的城门,{town_name}的城門,{town_name}の入り口にて,{town_name} 관문,vor den Toren von {town_name},aux portes de {town_name},alle porte di {town_name},{town_name} kasabasının kapısında,{town_name} kapuinál,під брамою міста {town_name},tại cổng {town_name}
map.menu.prepare_to_battle.near_town,,недалеко от {town_name},near {town_name},near {town_name},poblíž města {town_name},perto de {town_name},cerca de {town_name},nieopodal miasta {town_name},在{town_name}附近,{town_name}附近,{town_name}付近,{town_name} 근처,bei {town_name},près de {town_name},nei pressi di {town_name},{town_name} yakınlarında,{town_name} közelében,біля міста {town_name},gần {town_name}
map.menu.prepare_to_battle.battle_begin,,Сражение началось,Battle has begun,Battle has begun,Bitva začala,A batalha começou,La batalla ha comenzado,Rozpoczęła się bitwa,战斗开始了,開戰了！,戦いが始まった,전투 시작됨,Schlacht hat begonnen,La bataille a commencé,La battaglia è iniziata,Savaş başladı.,A csata megkezdődött,Битва розпочалася,Trận chiến đã bắt đầu
map.menu.town.guest_lords,,Лорды в гостях,Lords as guests,Lords as guests,Lordi coby hosté,Nobres convidados,Señores invitados,Lordowie w gościach,领主宾客,貴族賓客,ゲストとして招かれた領主,손님으로 온 영주,Lords als Gäste,Monarques invités,Nobili come ospiti,Misafir asilzadeler,Nemesi vendégek,Вельможі-гості,Lãnh chúa được mời làm khách
map.menu.town.information,,Информация,Information,Information,Informace,Informações,Información,Informacja,信息,詳情,情報,정보,Information,Informations,Informazioni,Bilgi,Információ,Інформація,Thông tin
map.menu.town.economic,,Экономика,Economy,Economy,Hospodářství,Economia,Economía,Gospodarka,经济,經濟,経済,경제,Wirtschaft,Économie,Economia,Ekonomi,Gazdaság,Економіка,Kinh tế
map.menu.town.army,,Армия,Army,Army,Vojsko,Exército,Ejército,Armia,军队,軍事,軍隊,군대,Armee,Armée,Esercito,Ordu,Hadsereg,Військо,Quân đội
map.menu.army_composition,,Состав армии,Composition of the army,Composition of the army,Složení vojska,Composição do exército,Composición del ejército,Skład armii,军队构成,軍隊組成,軍隊の構成,군대 구성,Armee-Zusammensetzung,Composition de l'armée,Composizione dell'esercito,Ordu düzeni,A hadsereg összetétele,Склад війська,Thành phần của quân đội
map.menu.town.local_lords,,Лорды,Lords,Lords,Lordi,Nobres,Señores,Lordowie,领主,貴族,領主,영주,Lords,Nobles,Nobili,Asilzadeler,Nemesek,Вельможі,Các lãnh chúa
map.menu.town.ruling_family,,Правящая семья,Ruling family,Ruling family,Vládnoucí rodina,Família governante,Familia gobernante,Ród u władzy,统治家族,當權王室,統治者一族,통치 가문,Herrscherfamilie,Famille au pouvoir,Famiglia regnante,Hükümdar aile,Uralkodói család,Правляча сім'я,Gia đình cầm quyền
map.menu.town.status.hostile,,Враждебный,Hostile,Hostile,Nepřátelskost,Hostil,Hostil,Wrogi,敌对,敵對,敵対的,적대적,Feindselig,Hostile,Ostile,Düşman,Ellenséges,Вороже,Thù địch
map.menu.town.status.friendly,,Дружелюбный,Friendly,Friendly,Přátelskost,Amigável,Amistosa,Przyjazny,友好,友善,友好的,우호적,Freundschaftlich,Alliée,Cordiale,Arkadaş canlısı,Barátságos,Дружнє,Thân thiện
map.menu.town.status.neutral,,Нейтральный,Neutral,Neutral,Neutrální,Neutro,Neutral,Neutralny,中立,中立,中立,중립,Neutral,Neutre,Neutrale,Nötr,Semleges,Нейтральне,Trung lập
map.menu.town.status.independent,,Независимый,Independent,Independent,Nezávislost,Independente,Independiente,Niezależny,独立,獨立,独立,독립적,Unabhängig,Indépendante,Indipendente,Bağımsız,Független,Незалежне,Độc lập
map.menu.town.status.vassal,,Вассал,Vassal,Vassal,Vazalství,Vassalo,Vasalla,Wasal,附庸,附庸,従属,봉신,Vasall,Vassale,Vassalla,Vasal,Vazallus,Васал,Chư hầu
map.menu.town.status.suzerain,,Сюзерен,Suzerain,Suzerain,Lenní pán,Suserano,Soberana,Senior,宗主国,宗主,宗主,종주국,Lehensherr,Suzeraine,Sovrana,Süzeren,Hűbérúr,Сюзерен,Chủ quyền
map.menu.town.relations,,Отношения,Relationships,Relationships,Vztahy,Relacionamentos,Relaciones,Stosunki,关系,關係,関係性,관계,Beziehungen,Relations,Rapporti,İlişkiler,Kapcsolatok,Взаємини,Quan hệ
map.menu.messenger,,Гонец,Messenger,Messenger,Posel,Mensageiro,Mensajero,Posłaniec,信使,信使,使者,전령,Bote,Émissaire,Messaggero,Elçi,Hírnök,Посланець,Sứ giả
map.army,,Армия,Army,Army,Vojsko,Exército,Ejército,Armia,军队,軍事,軍隊,군대,Armee,Armée,Esercito,Ordu,Hadsereg,Військо,Quân đội
map.declared_trade_agreement,,Торговое предложение,Trade agreement,Trade agreement,Obchodní smlouva,Acordo comercial,Acuerdo comercial,Umowa handlowa,贸易协议,貿易協議,貿易協定,무역 협정,Handelsabkommen,Accord commercial,Accordo commerciale,Ticaret sözleşmesi,Kereskedelmi megállapodás,Торгова угода,Thỏa thuận thương mại
map.forcing_neutrality,,Принуждение к нейтралитету,Forcing neutrality,Forcing neutrality,Vynucení neutrality,Forçando neutralidade,Forzar la neutralidad,Wymuszona neutralność,迫使中立,脅迫中立,中立の強要,중립 강요 중,Neutralität erzwingen,Neutralité forcée,Neutralità forzata,Tarafsız olmaya zorlama,Semlegesség kikényszerítése,Примушення до нейтралітету,Ép buộc trung lập
map.personal_conflict,,Конфликт между соседями,Conflict between neighbors,Conflict between neighbors,Střet mezi sousedy,Conflito entre vizinhos,Conflicto entre vecinos,Konflikt między sąsiadami,邻邦冲突,鄰邦衝突,近隣諸国間の衝突,이웃 간의 갈등,Konflikt zwischen Nachbarn,Conflit entre cités voisines,Conflitto tra vicini,Komşular arası anlaşmazlık,Viszály a szomszédok közt,Конфлікт між сусідами,Xung đột giữa các láng giềng
map.help_against_bandits,,Помощь против бандитов,Help against bandits,Help against bandits,Pomoc proti zbojníkům,Ajuda contra bandidos,Ayuda contra bandidos,Pomoc z bandytami,帮助对抗强盗,馳援抵抗林中劫匪,盗賊対策の協力,도적단 대항 지원,Hilfe gegen Banditen,Aide contre les bandits,Aiuto contro i fuorilegge,Haydutlara karşı yardım,Segítség a banditák ellen,Допомога проти розбійників,Giúp chống lại bọn cướp
map.help_against_mountains_bandits,,Помощь против мародеров,Help against marauders,Help against marauders,Pomoc proti nájezdníkům,Ajuda contra salteadores,Ayuda contra saqueadores,Pomoc z maruderami,帮助对抗山匪,馳援抵抗盜匪團,略奪者対策の協力,약탈자 대항 지원,Hilfe gegen Plünderer,Aide contre les maraudeurs,Aiuto contro i predoni,Yağmacılara karşı yardım,Segítség a martalócok ellen,Допомога проти мародерів,Giúp chống lại bọn cướp bóc
map.neutralization_order,,Заказ на нейтрализацию,Neutralization order,Neutralization order,Příkaz k likvidaci,Ordem de neutralização,Orden de neutralización,Rozkaz neutralizacji,清除指令,鎮壓命令,中立化命令,무력화 명령,Befehl zur Neutralisierung,Ordre de neutralisation,Ordine di neutralizzazione,Tarafsızlaştırma emri,Semlegesítési parancs,Наказ про нейтралізацію,Lệnh trung hòa
map.menu.town.status.ally,,В союзе,In the Alliance,In the Alliance,Ve spojenectví,Na aliança,En la alianza,W sojuszu,在联盟中,同盟,同盟の中で,동맹 소속,In der Allianz,Au sein de l'alliance,Nell'alleanza,İttifakta,A szövetség tagja,У союзі,Trong Liên minh
map.menu.town.status.alliance_leader,,Глава союза,Alliance head,Alliance head,Hlava spojenectví,Líder da aliança,Líder de la alianza,Przywódca sojuszu,联盟首领,同盟領袖,同盟主,동맹 지도자,Allianzanführer,À la tête de l'alliance,Leader dell'alleanza,İttifak lideri,Szövetség vezetője,Голова союзу,Người đứng đầu Liên minh
map.stolen_rings_offer,,Краденные Святые Кольца,Stolen Holy Rings,Stolen Holy Rings,Ukradené svaté prsteny,Anéis Sagrados roubados,Anillos sagrados robados,Skradziono święte pierścienie,失窃的圣戒,失竊的聖戒,盗まれた神聖なリング,도둑맞은 신성 반지,Heilige Ringe gestohlen,Anneaux sacrés volés,Anelli sacri rubati,Çalıntı kutsal yüzükler,Ellopott Szent Gyűrűk,Вкрадені священні персні,Nhẫn Thánh bị đánh cắp
map.holy_defence_was_removed,,"<red>Защита Любящей семьи была снята!</red>

Агрессивное действие означает что вы более не нуждаетесь в <hint=hint_holy_protection>Защите Любящей Семьи</hint>","<red>The Protection of the Loving Family has been removed!</red>

Aggressive action means that you no longer require the <hint=hint_holy_protection>Protection of the Loving Family</hint>.","<red>The Protection of the Loving Family has been removed!</red>

Aggressive action means that you no longer require the <hint=hint_holy_protection>Protection of the Loving Family</hint>.","<red>Ochrana Milující rodiny byla zrušena!</red>

Agresivní akce znamenají, že už nevyžaduješ <hint=hint_holy_protection>ochranu Milující rodiny</hint>.","<red>A proteção da Família Amorosa foi removida!</red>

Ações agressivas significam que você não precisa mais da <hint=hint_holy_protection>proteção da Família Amorosa</hint>.","<red>¡La Familia Feliz ha retirado su protección!</red>

Al realizar una acción agresiva, la Familia Feliz entiende que <hint=hint_holy_protection>ya no necesitas su protección</hint>.","<red>Tracisz ochronę Kochającego Rodu!</red>

Agresywne działania oznaczają, że nie potrzebujesz już <hint=hint_holy_protection>ochrony Kochającego Rodu</hint>.","<red>神爱之家庇护已解除！</red>

采取此激进行动后，你无法再请求<hint=hint_holy_protection>神爱之家庇护</hint>。","<red>神愛之家撤回了庇佑！</red>

既然你如此喜歡逞凶鬥狠，想來並不需要<hint=hint_holy_protection>神愛之家的庇佑</hint>。","<red>ラヴィング一族の加護が解除されました！</red>

過激な行動に出るということは、<hint=hint_holy_protection>愛に満ちた家族の加護</hint>が必要なくなったということを意味します。","<red>사랑의 가족의 보호가 해제되었습니다!</red>

공격적인 행동은 <hint=hint_holy_protection>사랑의 가족의 보호</hint>가 필요하지 않다는 의미입니다.","<red>Der Schutz der Liebenden Familie wurde aufgehoben!</red>

Die Aggressive Aktion bedeutet, dass du den <hint=hint_holy_protection>Schutz der Liebenden Familie</hint> nicht mehr benötigst.","<red>La protection de la Famille de l'étreinte divine a été levée !</red>

Une action agressive signifie que vous n'avez plus besoin de la <hint=hint_holy_protection>protection de la Famille de l'étreinte divine</hint>.","<red>La protezione della famiglia benevola è stata revocata!</red>

Un'azione aggressiva significa che non hai più bisogno della <hint=hint_holy_protection>protezione della famiglia benevola</hint>.","<red>Sevecen Aile Koruması kalktı!</red>

Agresif eylemler, artık <hint=hint_holy_protection>Sevecen Aile Korumasına</hint> ihtiyaç duymadığını gösterir.","<red>A Szerető Család védelme megszűnt!</red>

Az agresszív beavatkozás azt mutatja, hogy már nincs szükséged a <hint=hint_holy_protection>Szerető Család védelmére</hint>.","<red>Захист Люблячої сім'ї скасовано!</red>

Агресивні дії означають, що вам більше не потрібен <hint=hint_holy_protection>Захист Люблячої сім'ї</hint>.","<red>Sự bảo vệ của Gia đình Yêu thương đã bị loại bỏ!</red>

Hành động hung hăng có nghĩa là bạn không còn cần <hint=hint_holy_protection>Sự bảo vệ của Gia đình Yêu thương</hint> nữa.
"
map.holy_defence_will_be_removed,,<hint=hint_holy_protection>Защита Любящей семьи</hint> будет снята!,<hint=hint_holy_protection>The Protection of the Loving Family</hint> will be removed!,<hint=hint_holy_protection>The Protection of the Loving Family</hint> will be removed!,<hint=hint_holy_protection>Ochrana Milující rodiny</hint> bude zrušena!,<hint=hint_holy_protection>A proteção da Família Amorosa</hint> será removida!,<hint=hint_holy_protection>¡La Familia Feliz retirará su protección!</hint>,Tracisz <hint=hint_holy_protection>ochronę Kochającego Rodu</hint>!,<hint=hint_holy_protection>神爱之家庇护</hint>将解除！,<hint=hint_holy_protection>神愛之家的庇佑</hint>即將被撤回！,<hint=hint_holy_protection>ラヴィング一族の加護</hint>が解除されました！,<hint=hint_holy_protection>사랑의 가족의 보호</hint>가 해제됩니다!,<hint=hint_holy_protection>Der Schutz der Liebenden Familie</hint> wird aufgehoben!,<hint=hint_holy_protection>La protection de la Famille de l'étreinte divine</hint> sera levée !,<hint=hint_holy_protection>La protezione della famiglia benevola</hint> verrà revocata!,<hint=hint_holy_protection>Sevecen Aile Koruması</hint> kalkacak!,<hint=hint_holy_protection>A Szerető Család védelme megszűnik!</hint>,<hint=hint_holy_protection>Захист Люблячої сім'ї</hint> скоро буде скасовано!,<hint=hint_holy_protection>Sự bảo vệ của Gia đình Yêu thương</hint> sẽ bị loại bỏ!
map.trade.offer.alias,,Город продает {resource_name},City sells: {resource_name},City sells: {resource_name},Prodej: {resource_name},A cidade vende: {resource_name},Vendiendo {resource_name},Sprzedaje: {resource_name},正在出售{resource_name},出售{resource_name},{resource_name}を売却,{resource_name} 판매,{resource_name} verkaufen,Vente : {resource_name},Vende {resource_name},{resource_name} satıyor,Elad: {resource_name},Продаж: {resource_name},{resource_name} đang được rao bán
map.trade.request.alias,,Город покупает {resource_name},City buys: {resource_name},City buys: {resource_name},Nákup: {resource_name},A cidade compra: {resource_name},Comprando {resource_name},Kupuje: {resource_name},正在购买{resource_name},購買{resource_name},{resource_name}を購入,{resource_name} 구매,{resource_name} kaufen,Achat : {resource_name},Compra {resource_name},{resource_name} alıyor,Vásárol: {resource_name},Купівля: {resource_name},Mua thành phố: {resource_name}
map.menu.town.king_family,,СЕМЬЯ КОРОЛЯ,KING'S FAMILY,KING'S FAMILY,KRÁLOVA RODINA,FAMÍLIA DO REI,FAMILIA REAL,RODZINA KRÓLA,君王的家庭,王室家族,王族,왕의 가족,KÖNIGSFAMILIE,FAMILLE DU MONARQUE,FAMIGLIA MONARCA,HÜKÜMDARIN AİLESİ,URALKODÓI CSALÁD,МОНАРША СІМ'Я,GIA ĐÌNH NHÀ VUA
map.menu.town.guests,,ГОСТИ,GUESTS,GUESTS,HOSTÉ,CONVIDADOS,INVITADOS,GOŚCIE,宾客,賓客,ゲスト,손님,GÄSTE,HÔTES,OSPITI,MİSAFİRLER,VENDÉGEK,ГОСТІ,KHÁCH
map.menu.town.faction_lords,,ЛОРДЫ {town},{town}'s LORDS,{town}'s LORDS,LORDI ({town}),NOBRES DE {town},SEÑORES DE {town},LORDOWIE MIASTA {town},{town}的领主,{town}的貴族,{town}の領主,{town} 영주,LORDS von {town},NOBLES DE {town},NOBILI DI {town},{town} ASİLZADELERİ,{town} NEMESEI,ВЕЛЬМОЖІ З МІСТА {town},CÁC LÃNH CHÚA CỦA {town}
map.menu.town.vassal_of,,Вассал,Vassal of,Vassal of,Vazalové pána,Vassalo de,Vasallo de,Wasal,宗主国：,宗主：,次の従属国：,종주:,Vasall von,Vassale de,Vassallo di,Vasal:,Az ő vazallusa:,Васал,Chư hầu của
map.menu.town.ally_of,,Член союза,Ally of,Ally of,Spojenec rodu,Aliado de,Aliado de,Członek sojuszu,盟友：,盟友：,次の同盟：,동맹:,Verbündeter von,Alliée de,Alleato di,Müttefik:,Az ő szövetségese:,Союзник:,Đồng minh của
map.player_vassal_rebellion,,Восставший вассал,Rebel vassal,Rebel vassal,Rebelský vazal,Vassalo rebelde,Vasallo rebelde,Zbuntowany wasal,反叛的附庸,叛亂附庸,反逆の従属国,반란 봉신,Rebellischer Vasall,Vassale rebelle,Vassallo ribelle,İsyancı vasal,Lázadó vazallus,Бунтівний васал,Chư hầu nổi loạn
product_change_price.rats_invasion,,Из-за <hint=hint_prophecy_rats_invasion>нашествия крыс</hint> цена выше на <red>{price_factor}%</red>,"Due to the <hint=hint_prophecy_rats_invasion>rat Invasion</hint>, the price is higher by <red>{price_factor}%</red>.","Due to the <hint=hint_prophecy_rats_invasion>rat Invasion</hint>, the price is higher by <red>{price_factor}%</red>.",Kvůli <hint=hint_prophecy_rats_invasion>zamoření krysami</hint> je cena vyšší o <red>{price_factor} %</red>.,"Após a <hint=hint_prophecy_rats_invasion>Invasão de Ratos</hint>, houve um aumento de preço em <red>{price_factor}%</red>.","Debido a la <hint=hint_prophecy_rats_invasion>plaga de ratas</hint>, el precio es un <red>{price_factor} %</red> más alto.",Z powodu <hint=hint_prophecy_rats_invasion>inwazji szczurów</hint> cena wzrosła o <red>{price_factor}%</red>.,由于<hint=hint_prophecy_rats_invasion>鼠灾</hint>，价格上涨了<red>{price_factor}%</red>。,<hint=hint_prophecy_rats_invasion>鼠患</hint>使價格上漲了 <red>{price_factor}%</red>。,<hint=hint_prophecy_rats_invasion>ネズミの侵入</hint>により、価格が<red>{price_factor}%</red>高くなります。,<hint=hint_prophecy_rats_invasion>쥐의 습격</hint>으로 가격이 <red>{price_factor}%</red> 상승했습니다.,Aufgrund der <hint=hint_prophecy_rats_invasion>Ratteninvasion</hint> ist der Preis um <red>{price_factor} %</red> gestiegen.,"En raison d'une <hint=hint_prophecy_rats_invasion>invasion de rats</hint>, le prix a augmenté de <red>{price_factor} %</red>.","A causa di un'<hint=hint_prophecy_rats_invasion>invasione di ratti</hint>, il prezzo è aumentato del <red>{price_factor}%</red>.",<hint=hint_prophecy_rats_invasion>Fare istilası</hint> nedeniyle fiyatlar <red>%{price_factor}</red> yükseldi.,A <hint=hint_prophecy_rats_invasion>patkányinvázió</hint> miatt az ár <red>{price_factor}%-kal</red> magasabb.,У зв'язку зі <hint=hint_prophecy_rats_invasion>щурячою пошестю</hint> ціна вища на <red>{price_factor}%</red>.,"Do <hint=hint_prophecy_rats_invasion>Cuộc xâm lược của lũ chuột</hint>, giá cao hơn <red>{price_factor}%</red>."
product_change_price.tree_bug,,Из-за <hint=hint_prophecy_tree_bug>древесного жука</hint> цена выше на <red>{price_factor}%</red>,"Due to the <hint=hint_prophecy_tree_bug>wood borer</hint>, the price is higher by <red>{price_factor}%</red>.","Due to the <hint=hint_prophecy_tree_bug>wood borer</hint>, the price is higher by <red>{price_factor}%</red>.",Kvůli <hint=hint_prophecy_tree_bug>červotoči</hint> je cena vyšší o <red>{price_factor} %</red>.,"Após a infestação de <hint=hint_prophecy_tree_bug>Besouros</hint>, houve um aumento de preço em <red>{price_factor}%</red>.","Debido a los <hint=hint_prophecy_tree_bug>xilófagos</hint>, el precio es un <red>{price_factor} %</red> más alto.",Z powodu <hint=hint_prophecy_tree_bug>plagi owadów</hint> cena wzrosła o <red>{price_factor}%</red>.,由于<hint=hint_prophecy_tree_bug>蛀木虫</hint>，价格上涨了<red>{price_factor}%</red>。,<hint=hint_prophecy_tree_bug>蛀木蟲害</hint>使價格上漲了 <red>{price_factor}%</red>。,<hint=hint_prophecy_tree_bug>木くい虫</hint>の害により、価格が<red>{price_factor}%</red>高くなります。,<hint=hint_prophecy_tree_bug>나무좀</hint>으로 가격이 <red>{price_factor}%</red> 상승했습니다.,Aufgrund des <hint=hint_prophecy_tree_bug>Borkenkäferbefalls</hint> ist der Preis um <red>{price_factor} %</red> gestiegen.,"En raison d'une infestation d'<hint=hint_prophecy_tree_bug>insectes xylophages</hint>, le prix a augmenté de <red>{price_factor} %</red>.","A causa dei <hint=hint_prophecy_tree_bug>tarli del legno</hint>, il prezzo è aumentato del <red>{price_factor}%</red>.",<hint=hint_prophecy_tree_bug>Ağaç kurtları</hint> nedeniyle fiyatlar <red>%{price_factor}</red> yükseldi.,A <hint=hint_prophecy_tree_bug>fafurdancs</hint> miatt az ár <red>{price_factor}%-kal</red> magasabb.,У зв'язку з <hint=hint_prophecy_tree_bug>шашільною пошестю</hint> ціна вища на <red>{price_factor}%</red>.,Giá tăng <red>{price_factor}%</red> do <hint=hint_prophecy_tree_bug>mọt gỗ</hint>.
