Key,Russian,English,Comments,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
actor.punish.execute,Казнить,Execute,,Execute,Popravit,Executar,Ejecutar,Strać,处决,處決,処刑,처형,Hinrichten,Exécuter,Giustizia,İdam et,Kivégzés,Стратити,Hành hình
actor.punish.expel,Изгнать,Exile,,Exile,Vyhnat,Exílio,Exiliar,Wygnaj,流放,流放,追放,추방,Verbannung,Exiler,Esilio,Sürgün,Száműzés,Вигнати,Lưu lạc
actor.punish.imprison,Заключить в тюрьму,Keep as hostage,,Keep as hostage,Nechat jako rukojmí,Manter como refém,Mantener como rehén,Weź na zakładnika,扣为人质,擄為人質,人質に取る,인질로 두기,Als Geisel nehmen,Emprisonner,Tieni in ostaggio,Esir tut,Túszul ejtés,Залишити заручником,Giữ làm con tin
actor.desire,ЖЕЛАНИЕ,DESIRE,,DESIRE,TOUHA,DESEJO,DESEO,PRAGNIENIE,欲望,慾望,欲望,욕망,SEHNSUCHT,DÉSIR,DESIDERIO,ARZU,VÁGY,БАЖАННЯ,ƯỚC MƠ
actor.skill.command,Командование,Command,,Command,Velení,Comando,Mando,Dowodzenie,指挥,指揮,命令,명령,Führungsqualität,Commandement,Comando,Komuta,Parancsnoklás,Командування,Lệnh trị
actor.skill.education,Преподавание,Teaching,,Teaching,Učení,Ensino,Enseñanza,Nauczanie,教导,教育,教育,교육,Lehren,Pédagogie,Insegnamento,Öğretme,Tanítás,Викладання,Dạy dỗ
actor.skill.fight,Бой,Combat,,Combat,Boj,Combate,Combate,Bojowe,战斗,戰鬥,戦闘,전투,Kampf,Combat,Combatt.,Dövüş,Harc,Ведення бою,Chiến đấu
actor.skill.knowledge,Интеллект,Intelligence,,Intelligence,Inteligence,Inteligência,Intelecto,Inteligencja,智力,智力,知性,지능,Intelligenz,Intelligence,Intelligenza,Zekâ,Intellektus,Інтелект,Thông minh
actor.skill.management,Управление,Management,,Management,Správa,Administração,Gestión,Zarządzanie,管理,管理,管理,관리,Verwaltung,Gestion,Amministrazione,Yönetim,Felügyelet,Керування,Quản lý
actor.skill.manners,Манеры,Manners,,Manners,Chování,Boas maneiras,Modales,Maniery,礼仪,氣質,マナー,예의,Manieren,Manières,Maniere,Terbiye,Modor,Манери,Thương mại
actor.skill.negotiation,Торговля,Trade,,Trade,Obchod,Comércio,Comercio,Handel,贸易,貿易,貿易,무역,Handel,Commerce,Commercio,Ticaret,Kereskedés,Торгівля,Thuyết phục
actor.skill.oratory,Убеждение,Persuasion,,Persuasion,Přesvědčování,Persuasão,Persuasión,Perswazja,游说,遊說,説得,설득,Redekunst,Persuasion,Persuasione,İkna,Meggyőzés,Переконування,HÀNH ĐỘNG
actor.skill.points_remain,До следующего уровня необходимо {number} очков опыта,{number} experience points required to reach the next level,,{number} experience points required to reach the next level,Na dosažení další úrovně potřebuješ {number} zkušenostních bodů,{number} pontos de experiência necessários para passar para o próximo nível,Puntos de experiencia necesarios para el siguiente nivel: {number},Do następnego poziomu potrzebuje {number} PD.,需要 {number} 经验值以升到下一级,再 {number} 點經驗值可達下一等級,次のレベルに到達するには、経験値 {number} が必要です,다음 레벨에 도달하려면 경험치 {number} 필요,{number} Erfahrungspunkte zum Erreichen der nächsten Stufe erforderlich,{number} points d'expérience avant le niveau supérieur,Punti esperienza necessari per il livello successivo: {number},Bir sonraki seviyeye geçmek için {number} tecrübe puanı gerekir,{number} tapasztalati pont szükséges a következő szint eléréséhez.,{number} досвіду необхідно для досягнення наступного рівня,{number} điểm kinh nghiệm cần thiết để đạt cấp độ tiếp theo
actor.skills,НАВЫКИ,SKILLS,,SKILLS,SCHOPNOSTI,HABILIDADES,HABILIDADES,UMIEJĘTNOŚCI,技能,能力,スキル,스킬,FÄHIGKEITEN,COMPÉTENCES,ABILITÀ,BECERİLER,KÉPESSÉGEK,НАВИЧКИ,KỸ NĂNG
actor.skills_training,ТРЕНИРОВКА,TRAINING,,TRAINING,VÝCVIK,TREINAMENTO,ENTRENAMIENTO,SZKOLENIE,训练,訓練,訓練,훈련,AUSBILDUNG,ENTRAÎNEMENT,ADDESTRAMENTO,EĞİTİM,KÉPZÉS,ВИШКІЛ,ĐÀO TẠO
actor.skills.level,{level},{level},,{level},{level},{level},{level},{level},{level},{level},{level},{level},{level},{level},{level},{level},{level},{level},{level}
actor.skill_category.rhetoric,Риторика,Rhetoric,,Rhetoric,Řečnictví,Retórica,Retórica,Retoryka,修辞学,辭令學,修辞学,수사학,Rhetorik,Rhétorique,Retorica,Üslup,Retorika,Риторика,Nghệ thuật lập luận
actor.skill_category.economic,Экономика,Economy,,Economy,Hospodářství,Economia,Economía,Ekonomia,经济,經濟,経済,경제,Wirtschaft,Économie,Economia,Ekonomi,Gazdaság,Економіка,Kinh tế
actor.skill_category.philosophy,Философия,Philosophy,,Philosophy,Filosofie,Filosofia,Filosofía,Filozofia,哲学,哲學,哲学,철학,Philosophie,Philosophie,Filosofia,Felsefe,Filozófia,Філософія,Triết học
actor.skill_category.warcraft,Военное дело,Warfare,,Warfare,Válečnictví,Guerra,Guerra,Sztuka wojny,军事学,軍事學,戦争,전쟁,Kriegsführung,Art de la guerre,Arte bellica,Savaş,Hadviselés,Військова справа,Chiến tranh
actor.stata.bandit,Бандит,Bandit,,Bandit,Zbojník,Bandido,Bandido,Bandyta,强盗,劫匪,盗賊,도적,Bandit,Bandit,Fuorilegge,Haydut,Bandita,Розбійник,Lũ cướp
actor.stata.thug,Головорез,Cutthroat,,Cutthroat,Hrdlořez,Facínora,Criminal,Zbój,刺客,刺客,殺し屋,흉악범,Handlanger,Coupe-jarret,Malvivente,Eşkıya,Briganti,Головоріз,Kẻ giết người
actor.states,СОСТОЯНИЯ,STATES,,STATES,STÁTY,ESTADOS,ESTADOS,STANY,状态,州省,状態,상태,STATUS,ÉTATS,STATI,DURUM,ÁLLAPOTOK,СТАНИ,TÌNH TRẠNG
actor.strata.animal,Животное,Animal,,Animal,Zvíře,Animal,Animal,Zwierzę,动物,動物,動物,동물,Tier,Animaux,Animale,Hayvan,Állat,Тварина,Động vật
actor.strata.slave,Пленник,Prisoner,,Prisoner,Vězeň,Refém,Prisionero,Jeniec,囚犯,囚犯,囚人,수감자,Sklave,Prise d'otage,Prigionia,Mahkûm,Fogoly,В'язень,Tù nhân
actor.traits,СОСТОЯНИЕ,STATE,,STATE,VLASTNOSTI,ESTADO,RASGOS,CECHY,特质,特質,特徴,특성,EIGENSCHAFTEN,TRAITS,TRATTI,ÖZELLİKLER,JELLEMVONÁSOK,РИСИ,TRẠNG THÁI
building.hostel,Общежитие,Dormitory,,Dormitory,Ubytovna,Dormitório,Dormitorio,Barak,宿舍,寢舍,寮,공동 숙소,Schlafsaal,Dortoir,Dormitorio,Yurt,Szállás,Спочивальня,Phòng ngủ
building.library,Библиотека,Library,,Library,Knihovna,Biblioteca,Biblioteca,Biblioteka,图书馆,藏書閣,図書館,도서관,Bibliothek,Bibliothèque,Biblioteca,Kütüphane,Könyvtár,Бібліотека,Thư viện
building.armorsmith,Бронник,Armor Forge,,Armor Forge,Zbrojířství,Forja de armaduras,Forja de armaduras,Płatnerz,防具锻造厂,防具匠,鎧鍛治,방어구 대장간,Rüstungsschmied,Armurier·ère,Fucina per armature,Zırh Ocağı,Páncélműhely,Кузня обладунків,Xưởng giáp
building.barracks,Казарма,Barracks,,Barracks,Kasárna,Caserna,Barracones,Koszary,兵营,營房,兵舎,병영,Kaserne,Caserne,Caserma,Kışla,Kaszárnya,Казарми,Quân đội
building.brewery,Пивоварня,Brewery,,Brewery,Pivovar,Cervejaria,Destilería,Gorzelnia,酿酒厂,釀酒廠,醸造所,양조장,Brauerei,Brasserie,Birrificio,İçki İmalathanesi,Főzde,Броварня,Nhà máy bia
building.caption_with_level,{building_name} уровень {level},{building_name} Level {level},,{building_name} Level {level},{building_name} {level}. úrovně,{building_name} de nível {level},{building_name} de nivel {level},{building_name} poz. {level},{level} 级{building_name},{building_name}等級 {level},{building_name} レベル {level},{building_name} 레벨 {level},{building_name} Stufe {level},{building_name} niveau {level},{building_name} livello {level},{level}. Seviye {building_name},{building_name} – {level}. szint,{building_name} рівня {level},{building_name} Cấp độ {level}
building.castle,Холл,Hall,,Hall,Síň,Salão,Salón de reuniones,Siedziba,大厅,莊園大廳,屋敷,영주관,Halle,Grand-salle,Salone,Salon,Palota,Замок,Đại sảnh
building.chancellery,Канцелярия,Chancellery,,Chancellery,Kancléřství,Chancelaria,Cancillería,Kancelaria,官邸,官邸,官庁,사무국,Kanzlei,Chancellerie,Cancelleria,Şansölyelik,Kancellária,Канцелярія,Thủ hiến phủ
building.church,Храм,Temple,,Temple,Chrám,Templo,Templo,Świątynia,圣堂,教堂,礼拝堂,사원,Tempel,Temple,Tempio,Tapınak,Templom,Храм,Đền thờ
building.altar,Алтарь,Altar,,Altar,Oltář,Altar,Altar,Ołtarz,祭坛,祭壇,祭壇,제단,Altar,Idole,Altare,Sunak,Oltár,Вівтар,Bàn thờ
building.coal_burner,Угольная печь,Coal Furnace,,Coal Furnace,Uhelná pec,Fornalha de carvão,Horno de carbón,Mielerz,煤炉,製炭爐,石炭炉,석탄 가공소,Kohleofen,Fourneau à charbon,Forno per carbone,Kömür Fırını,Szénégető,Вугільна піч,Lò than
building.coal_furnace,Угольная печь,Coal Furnace,,Coal Furnace,Uhelná pec,Fornalha de carvão,Horno de carbón,Mielerz,煤炉,製炭爐,石炭炉,석탄 가공소,Kohleofen,Fourneau à charbon,Forno per carbone,Kömür Fırını,Szénégető,Вугільна піч,Lò than
building.coal_mine,Шахта угля,Coal Mine,,Coal Mine,Uhelný důl,Mina de carvão,Mina de carbón,Kopalnia węgla,煤矿,煤礦場,炭鉱,석탄 광산,Kohlemine,Mine de charbon,Miniera di carbone,Kömür Madeni,Szénbánya,Вугільна шахта,Mỏ than
building.description.burned,Здание уничтожено пожаром. Его можно только снести.,This building has been destroyed by fire. It can only be demolished.,,This building has been destroyed by fire. It can only be demolished.,Tuto budovu zničil požár. Lze ji pouze zbourat.,Este edifício foi destruído pelo fogo. Ele só pode ser demolido.,Este edificio lo ha destruido el fuego. Solo queda demolerlo.,Ten budynek spłonął w pożarze. Można go tylko zburzyć.,该建筑已被烧毁，只能拆除。,此建築已遭大火燒毀，只能拆除。,この建物は火事により破壊されました。解体することしかできません。,화재에 의해 파괴된 건물입니다. 철거만 가능합니다.,Dieses Gebäude wurde durch einen Brand zerstört. Es kann nur noch abgerissen werden.,Ce bâtiment a été entièrement détruit par le feu. Il ne reste qu'à le démolir.,Questo edificio è stato distrutto da un incendio. Si può solo demolire.,Bu bina yangında kül oldu. Yalnızca yıkılabilir.,Ezt az épületet tűz pusztította el. Csak lebonthatod.,Ця споруда була знищена внаслідок пожежі. Її можна тільки знести.,Tòa nhà này đã bị phá hủy bởi đám cháy. Chỉ có thể phá hủy nó.
building.farm,Ферма,Farm,,Farm,Farma,Fazenda,Granja,Gospodarstwo,农场,農場,農場,농장,Feld,Ferme,Fattoria,Çiftlik,Gazdaság,Ферма,Nông trại
building.forge,Оружейник,Weapon Forge,,Weapon Forge,Kovárna,Forja de armas,Forja de armas,Kuźnia broni,武器锻造厂,武器鍛造廠,武器鍛治,무기 대장간,Waffenschmiede,Forge,Fucina per armi,Silah Ocağı,Fegyverműhely,Зброярська кузня,Xưởng vũ khí
building.hall_storage,Склад зала,Hall storage,,Hall storage,Velký sklad,Depósito do salão,Almacén del salón,Skład siedziby,大厅仓库,大廳倉庫,屋敷の収納庫,영주관 창고,Hallenlager,Dépôt de la grand-salle,Deposito del salone,Salon Deposu,Palota raktára,Замковий склад,Kho đồ
building.herbalist,Травник,Herbalist,,Herbalist,Bylinkář,Ervanária,Herbolario,Zielarz,草药师,採藥人,薬草採集者,약초 채집가,Kräuterkundler,Herboriste,Erboristeria,Otacı,Javasember,Травник,Thầy thuốc thảo dược
building.house,Дом крестьянина,Peasant's house,,Peasant's house,Rolnický dům,Casa de camponês,Casa de campesino,Dom chłopski,民宅,庶民住宅,農民の家,농가,Bauernhaus,Chaumière,Casa per popolani,Köylü Evi,Parasztház,Селянський дім,Nhà của dân thường
building.menu.appoint.church,ПРОПОВЕДЬ,SERMON,,SERMON,KÁZÁNÍ,SERMÃO,SERMÓN,KAZANIE,布道,佈道,説教,설교,PREDIGT,SERMON,SERMONE,VAAZ,PRÉDIKÁCIÓ,ПРОПОВІДЬ,Bài giảng
building.menu.appoint.training,ТРЕНИРОВКА,TRAINING,,TRAINING,VÝCVIK,TREINAMENTO,ENTRENAMIENTO,SZKOLENIE,训练,訓練,訓練,훈련,AUSBILDUNG,ENTRAÎNEMENT,ADDESTRAMENTO,EĞİTİM,KÉPZÉS,ВИШКІЛ,HUẤN LUYỆN
building.menu.appoint.gallows,НАКАЗАНИЕ,PUNISHMENT,,PUNISHMENT,TREST,PUNIÇÃO,CASTIGO,KARA,惩罚,責罰,処罰,처벌,BESTRAFUNG,CHÂTIMENT,PUNIZIONE,CEZA,BÜNTETÉS,ПОКАРАННЯ,PHẠT
building.menu.appoint.chancellery,КАНЦЛЕР,CHANCELLOR,,CHANCELLOR,KANCLÉŘ,CHANCELER,CANCILLER,KANCLERZ,大臣,大臣,大臣,사무관,KANZLER,CHANCELIER·ÈRE,FUNZIONARIO,ŞANSÖLYE,KANCELLÁR,КАНЦЛЕР,THỨ TRƯỞNG
building.menu.appoint.culture,КУЛЬТУРА,CULTURE,,CULTURE,KULTURA,CULTURA,CULTURA,KULTURA,文化,文化,文化,문화,KULTUR,CULTURE,CULTURA,KÜLTÜR,KULTÚRA,КУЛЬТУРА,VĂN HÓA
building.menu.appoint.appoint_culture,назначить,appoint,,appoint,ustanovit,indicar,señalar,mianuj,指定,指派,指名する,임명,ernennen,Désigner,nomina,ata,kinevezés,призначити,bổ nhiệm
building.menu.castle.builders,СТРОИТЕЛИ,BUILDERS,,BUILDERS,STAVITELÉ,CONSTRUTORES,CONSTRUCTORES,BUDOWNICZY,建筑工人,建築工人,建設業者,건설자,BAUARBEITER,MAIN-D'ŒUVRE DE CONSTRUCTION,COSTRUTTORI,İNŞAATÇILAR,ÉPÍTŐK,БУДІВЕЛЬНИКИ,XÂY DỰNG
building.menu.castle.servants,СЛУГИ,SERVANTS,,SERVANTS,SLUŽEBNÍCI,SERVOS,SIRVIENTES,SŁUŻBA,仆人,僕人,召使い,시종,DIENER,DOMESTIQUES,SERVITORI,HİZMETÇİLER,SZOLGÁK,СЛУГИ,NGƯỜI PHỤC VỤ
building.menu.gallows.terror,Террор,Terror,,Terror,Teror,Terror,Terror,Terror,恐慌,恐怖,恐怖,공포,Terror,Terreur,Terrore,Dehşet,Terror,Терор,Kinh hoàng
building.menu.gallows.executers,ЭКЗЕКУТОРЫ,EXECUTIONERS,,EXECUTIONERS,POPRAVČÍ,CARRASCOS,VERDUGOS,KACI,刽子手,劊子手,死刑執行人,사형집행인,SCHARFRICHTER,BOURREAUX,BOIA,CELLATLAR,HÓHÉROK,КАТИ,THỰC HIỆN
building.menu.in_stock,НА СКЛАДЕ,IN WAREHOUSE,,IN WAREHOUSE,VE SKLADIŠTI,NO DEPÓSITO,EN EL ALMACÉN,W SKŁADZIE,在仓库,倉庫中,倉庫,창고에 있음,IM LAGER,EN STOCK,NEL MAGAZZINO,ARDİYE'DE,A RAKTÁRBAN,У СКЛАДІ,TRONG KHO
building.menu.required_resources,ТРЕБУЕТСЯ,REQUIRED,,REQUIRED,VYŽADUJE,NECESSÁRIO,NECESARIO,WYMAGA,需要,所需資源,必要な資源,필요,ERFORDERLICH,REQUIS,RICHIEDE,GEREKLİ,SZÜKSÉGES,ПОТРІБНО,YÊU CẦU
building.menu.required_resources.count,{available}/{required},{available}/{required},,{available}/{required},{available}/{required},{available}/{required},{available}/{required},{available}/{required},{available}/{required},{available}/{required},{available}/{required},{available}/{required},{available}/{required},{available}/{required},{available}/{required},{available}/{required},{available}/{required},{available}/{required},{available}/{required}
building.menu.residence.residents,ЖИТЕЛИ,RESIDENTS,,RESIDENTS,OBYVATELÉ,MORADORES,RESIDENTES,MIESZKAŃCY,居民,居民,住民,거주민,BEWOHNER,HABITANTS·ES,ABITANTI,SAKİNLER,LAKOSOK,ЖИТЕЛІ,CƯ DÂN
building.menu.service.attendance,Посещаемость,Attendance,,Attendance,Účast,Comparecimento,Asistencia,Obecni,出席,出席者,出席,참석,Besucherzahl,Présence,Affluenza,Yoklama,Hallgatóság,Відвідування,Tham dự
building.menu.service.inspection,ПОЛИТИКА,POLITICS,,POLITICS,POLITIKA,POLÍTICA,POLÍTICA,POLITYKA,政治,政策,政治,정치,POLITIK,POLITIQUES,POLITICA,SİYASET,POLITIKA,ПОЛІТИКА,CHÍNH TRỊ
building.menu.service.revenue,Выручка,Revenue,,Revenue,Příjem,Receita,Ingresos,Obroty,收入,收益,収益,수익,Einnahmen,Recettes,Ricavo,Kâr,Bevétel,Прибуток,Doanh thu
building.menu.combat_training.number_of_places,ОДНОВРЕМЕННЫХ ТРЕНИРОВОК,SIMULTANEOUS TRAINING,,SIMULTANEOUS TRAINING,SOUBĚŽNÝ VÝCVIK,TREINAMENTO SIMULTÂNEO,ENTRENAMIENTO SIMULTÁNEO,JEDNOCZESNY TRENING,同时训练,同時訓練,一斉訓練,동시 훈련,GLEICHZEITIGE AUSBILDUNG,ENTRAÎNEMENT SIMULTANÉ,ADDESTRAMENTO SIMULTANEO,EŞ ZAMANLI EĞİTİM,SZIMULTÁN KÉPZÉS,ОДНОЧАСНИЙ ВИШКІЛ,ĐÀO TẠO ĐỒNG THỜI
building.menu.sold,ПРОДАНО,SOLD,,SOLD,PRODÁNO,VENDIDO,VENDIDO,SPRZEDANO,已售,售出,売切,판매됨,VERKAUFT,VENDUS,VENDUTO,SATILANLAR,ELADVA,ПРОДАНО,BÁN
building.menu.trader,ТОРГОВЕЦ,TRADER,,TRADER,OBCHODNÍK,COMERCIANTE,COMERCIANTE,HANDLARZ,商人,商人,貿易商,상인,HÄNDLER,COMMERÇANT·E,COMMERCIANTE,TÜCCAR,KERESKEDŐ,КУПЕЦЬ,TRAO ĐỔI
building.menu.special_button.auto_repair,Автоматический ремонт,Auto Repair,,Auto Repair,Automatická oprava,Conserto automático,Autorreparar,Automatyczna naprawa,自动修理,自動修復,自動車修理工,자동 수리,Autom. reparieren,Réparation automatique,Ripara automaticamente,Otomatik Tamirat,Automatikus javítás,Авторемонт,Sửa chữa tự động
building.menu.special_button.abort,Отменить,Abort,,Abort,Zrušit,Abortar,Cancelar,Anuluj,中止,中止,中止,중단,Abbrechen,Annuler,Annulla,İptal et,Megszakít,Скасувати,Hủy bỏ
building.menu.special_button.destroy,Уничтожить,Destroy,,Destroy,Zničit,Destruir,Destruir,Zniszcz,销毁,摧毀,破壊,파괴,Abreißen,Détruire,Distruggi,Yok et,Lerombol,Знищити,Phá hủy
building.menu.special_button.relocate,Перенос,Move,,Move,Přesunout,Mover,Mover,Przenieś,移动,移動,移動,이동,Verlegen,Déplacer,Sposta,Taşı,Mozgat,Перемістити,Di chuyển
building.menu.special_button.repair,Починить,Repair,,Repair,Opravit,Consertar,Reparar,Napraw,修理,修復,修理,수리,Reparieren,Réparer,Ripara,Onar,Javít,Ремонт,Sửa chữa
building.menu.special_button.upgrade,Улучшить,Upgrade,,Upgrade,Vylepšit,Melhorar,Mejorar,Ulepsz,升级,升級,アップグレード,업그레이드,Aufwerten,Améliorer,Migliora,Yükselt,Fejleszt,Вдосконалити,Nâng cấp
building.menu.special_button.upgrade_workplace,+1 рабочее место,+1 working place,,+1 working place,#ERROR!,#¡VALOR!,#ERROR!,#ERROR!,#ERROR!,工人名額 +1,#ERROR!,일자리 +1,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,+1 nơi làm việc
building.menu.status.breakdown,Сломано,Breakdown,,Breakdown,Rozpis,Desgaste,Análisis,Awaria,故障,瓦解,故障,고장,Ausfall,Destruction,Intoppo,Arıza,Leromlás,Руйнування,Sự cố hỏng hóc
building.menu.status.need_charge,Ферма истощена,Farm exhausted.,,Farm exhausted.,Farma je vyčerpaná.,Fazenda esgotada.,Granja agotada.,Pole wyeksploatowane.,田地资源耗尽。,田地已枯竭,不毛な農場,농장이 고갈되었습니다.,Feld abgeerntet.,Champ épuisé,Fattoria esaurita.,Çiftlik tüketildi.,A gazdaság kimerült.,Ресурси ферми вичерпано.,Nông trại cạn kiệt.
building.menu.status.burned_full,Уничтожено пожаром,Destroyed by fire.,,Destroyed by fire.,Zničeno požárem.,Edifício destruído pelo fogo.,Destruido por el fuego.,Zniszczone w pożarze.,已烧毁。,毀於火災,火災により破壊。,화재로 인해 파괴되었습니다.,Durch einen Brand zerstört.,Bâtiment détruit par le feu.,Edificio distrutto da un incendio.,Yangında kül oldu.,Elpusztította a tűz.,Знищено пожежею.,Bị phá hủy bởi đám cháy.
building.menu.status.burned_partially,Сгорело частично,Partially burned.,,Partially burned.,Částečně ohořelé.,Parcialmente queimado.,Parcialmente quemado.,Częściowo spalone.,部分烧毁。,部分毀於火災,一部焼失,부분적으로 그을렸습니다.,Teilweise verbrannt.,Bâtiment partiellement brûlé.,Edificio parzialmente bruciato.,Kısmen yandı.,Részben leégett.,Частково згоріло.,Bị thiêu cháy một phần.
building.menu.status.burning,Пожар в здании!,Fire in the building!,,Fire in the building!,V budově hoří!,Fogo no edifício!,¡Fuego en el edificio!,Pożar!,建筑物着火了！,建築失火了！,建物内で火事発生！,건물에 화재 발생!,Feuer im Gebäude!,Bâtiment en proie aux flammes !,Edificio in fiamme!,Bina yanıyor!,Tűz az épületben!,У будівлі пожежа!,Cháy trong tòa nhà!
building.menu.status.church,Фанатиков в городе: {fanatics_percent}%,Religious fanatics in the city: {fanatics_percent}%,,Religious fanatics in the city: {fanatics_percent}%,Náboženští fanatici ve městě: {fanatics_percent} %,Fanáticos religiosos na cidade: {fanatics_percent}%,Fanáticos religiosos en la ciudad: {fanatics_percent} %,Religijni fanatycy w mieście: {fanatics_percent}%,城市中的宗教狂热信徒：{fanatics_percent}%,城鎮內的狂熱信徒：{fanatics_percent}%,街にいる狂信者の割合： {fanatics_percent}%,도시 내 종교 광신도: {fanatics_percent}%,Religiöse Fanatiker in der Stadt: {fanatics_percent} %,Taux de fanatiques religieux dans la cité : {fanatics_percent} %,Fanatici religiosi in città: {fanatics_percent}%,Şehirdeki dindar fanatikler: %{fanatics_percent},Vallási fanatikusok a városban: {fanatics_percent}%,Релігійних фанатиків у місті: {fanatics_percent}%,Thần dự fanatik trong thành phố: {fanatics_percent}%
building.menu.status.construction,Идет строительство,Construction in progress.,,Construction in progress.,Probíhá stavba,Construção em andamento.,Construcción en curso,Trwa budowa.,建设中,營建中,建設中,건설 진행 중,Wird gebaut,Construction en cours,Costruzione in corso.,İnşaat devam ediyor.,Építés folyamatban,Відбувається будівництво,Đang xây dựng.
building.menu.status.construction_template,{status} ({progress}%) готово,{status} ({progress}%) Complete,,{status} ({progress}%) Complete,{status} – hotovo z {progress} %,{status} ({progress}%) concluído,{status} ({progress} %) Completado,{status} ({progress}%) ukończono,{status} ({progress}%) 完成,{status}：{progress}% 完成,{status} ({progress}%) 完了,{status}({progress}%) 완료,{status} ({progress} %) abgeschlossen,{status} ({progress} %) Terminée,{status} Progressi: {progress}%,{status} (%{progress}) Tamamlandı,{status} ({progress}%) kész,{status} ({progress}%) – виконано,{status} ({progress}%) Hoàn thành
building.menu.status.demolition,Идет разборка,Dismantling in progress.,,Dismantling in progress.,Probíhá rozebrání.,Desmontagem em andamento.,Desmontaje en curso.,Trwa rozbiórka.,拆除中。,拆除中,解体中,해체 중입니다.,Wird abgerissen.,Démantèlement en cours,Demolizione in corso.,Sökme işlemi devam ediyor.,Lebontás folyamatban.,Відбувається знесення.,Đang tháo dỡ.
building.menu.status.extinguishing,Идет тушение пожара,Firefighting in progress.,,Firefighting in progress.,Požár se hasí.,Combate a incêndios em andamento.,Labores de extinción en curso.,Trwa gaszenie pożaru.,灭火中。,滅火中,消火作業中,화재 진압 중입니다.,Brand wird gelöscht.,Vos habitants combattent l'incendie !,Spegnimento dell'incendio in corso.,Yangın söndürme işlemi devam ediyor.,Tűzoltás folyamatban.,Відбувається гасіння пожежі.,Đang chữa cháy.
building.menu.status.harvest.after_tomorrow,Послезавтра соберут урожай,The harvest will be gathered the day after tomorrow.,,The harvest will be gathered the day after tomorrow.,Sklizeň bude pozítří.,A colheita será feita depois de amanhã.,La cosecha se recogerá pasado mañana.,Zbiór plonów nastąpi pojutrze.,后天将收获庄稼。,後天收成,明後日に収穫が行われます。,수확물이 이틀 후 수거됩니다.,Die Ernte wird übermorgen eingebracht.,La récolte aura lieu dans deux jours.,Il raccolto avverrà dopodomani.,Mahsuller yarından sonraki gün toplanacak.,A termés holnapután lesz betakarítva.,Збір урожаю відбудеться післязавтра.,Lúc thu hoạch vào ngày hôm kia.
building.menu.status.harvest.n_days,Соберут урожай через {days} дня,They will harvest the crops in {days} days.,,They will harvest the crops in {days} days.,Plodiny sklidí za {days} d.,As plantações serão coletadas em {days} dias.,Recogerán las cosechas dentro de {days} días.,Zbiór plonów nastąpi za {days} dni.,他们将在{days}天内收获庄稼。,{days} 天後收成,{days} 日後に収穫を行います。,{days}일 후 농작물을 수확할 예정입니다.,Feld wird in {days} Tagen abgeerntet.,La récolte aura lieu dans {days} jours.,Il raccolto avverrà tra {days} giorni.,Ekinler {days} gün sonra hasat edilecek.,A termést {days} nap múlva takarítják be.,Вони збиратимуть урожай через {days} д.,Họ sẽ thu hoạch mùa màng trong {days} ngày.
building.menu.status.harvest.today,Сегодня соберут урожай,"Today, they will harvest the crops.",,"Today, they will harvest the crops.",Dnes sklidí plodiny.,As plantações serão coletadas hoje.,Recogerán las cosechas hoy.,Dzisiaj nastąpi zbiór plonów.,今天他们将会收获庄稼。,今天收成,今日、作物を収穫します。,오늘 농작물을 수확할 예정입니다.,Feld wird heute abgeerntet.,La récolte a lieu aujourd'hui.,Il raccolto avverrà oggi.,Bugün ekinler hasat edilecek.,Ma takarítják be a termést.,Сьогодні збиратимуть урожай.,"Hôm nay, họ sẽ thu hoạch mùa màng."
building.menu.status.harvest.tomorrow,Завтра соберут урожай,"Tomorrow, they will harvest the crops.",,"Tomorrow, they will harvest the crops.",Zítra sklidí plodiny.,As plantações serão coletadas amanhã.,Recogerán las cosechas mañana.,Jutro nastąpi zbiór plonów.,明天他们将会收获庄稼。,明天收成,明日、作物を収穫します。,내일 농작물을 수확할 예정입니다.,Feld wird morgen abgeerntet.,La récolte aura lieu demain.,Il raccolto avverrà domani.,Yarın ekinler hasat edilecek.,Holnap takarítják be a termést.,Завтра збиратимуть урожай.,"Ngày mai, họ sẽ thu hoạch mùa màng."
building.menu.status.no_tasks,Создайте заказ в меню производства,Create an order in the Production menu.,,Create an order in the Production menu.,Vytvoř objednávku v nabídce výroby,Criar um pedido no menu de produção,Crea un pedido en el menú Producción.,Wydaj polecenie w menu produkcji.,在生产菜单中创建订单。,請於「生產」選單下達訂單,「生産」メニューからオーダーを作成します。,생산 메뉴에서 명령하세요.,Erstelle einen Befehl im Produktionsmenü.,Créer une commande dans le menu Production.,Crea un ordine nel menu di produzione.,Üretim menüsünden sipariş oluştur.,Adj ki egy parancsot a Termelés menüben.,Віддайте наказ в меню «Виробництво».,Tạo đơn hàng trong menu Sản xuất.
