Code,Comments,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian
hint_mind_conversation_rumors,,"[hint_mind_caption]
Так приятно обсудить кого-то за его спиной... 
[hint_mind_remain_time]","[hint_mind_caption]
It's so enjoyable to talk about someone behind their back...
[hint_mind_remain_time]","[hint_mind_caption]
It's so enjoyable to talk about someone behind their back...
[hint_mind_remain_time]","[hint_mind_caption]
Mluvit o někom za jeho zády mě nesmírně baví...
[hint_mind_remain_time]","[hint_mind_caption]
É tão divertido falar mal de alguém pelas costas...
[hint_mind_remain_time]","[hint_mind_caption]
Me encanta hablar de alguien a sus espaldas...
[hint_mind_remain_time]","[hint_mind_caption]
Tak miło obgaduje się ludzi za ich plecami…
[hint_mind_remain_time]","[hint_mind_caption]
在背后说别人闲话真好玩……
[hint_mind_remain_time]","[hint_mind_caption]
他人背後道長短真是件舒服的事呢……
[hint_mind_remain_time]","[hint_mind_caption]
誰かの陰口を叩くのはとても楽しいな...
[hint_mind_remain_time]","[hint_mind_caption]
남의 험담을 하는 건 정말 즐겁다니까...
[hint_mind_remain_time]","[hint_mind_caption]
Es macht wirklich Freude, hinter jemandes Rücken schlecht über ihn zu reden ...
[hint_mind_remain_time]","[hint_mind_caption]
J'adore parler des gens dans leur dos…
[hint_mind_remain_time]","[hint_mind_caption]
È così piacevole parlare di qualcuno alle sue spalle...
[hint_mind_remain_time]","[hint_mind_caption]
Birinin arkasından konuşmak çok keyifli...
[hint_mind_remain_time]","[hint_mind_caption]
Olyan élvezetes a háta mögött kibeszélni valakit…
[hint_mind_remain_time]","[hint_mind_caption]
Як же приємно говорити про когось за спиною…
[hint_mind_remain_time]"
hint_mind_crime_criminal_not_punished,,"[hint_mind_caption]
{name} должен понести наказание за свои <hint=hint_crime>преступления</hint>. Это справедливость!
[hint_mind_remain_time]","[hint_mind_caption]
{name} must face punishment for their <hint=hint_crime>crimes</hint>. It's justice!
[hint_mind_remain_time]","[hint_mind_caption]
{name} must face punishment for their <hint=hint_crime>crimes</hint>. It's justice!
[hint_mind_remain_time]","[hint_mind_caption]
{name} musí dostat trest za svoje <hint=hint_crime>zločiny</hint>. To je spravedlnost!
[hint_mind_remain_time]","[hint_mind_caption]
{name} deve receber uma punição por seus <hint=hint_crime>Crimes</hint>. É o justo!
[hint_mind_remain_time]","[hint_mind_caption]
{name} debe enfrentarse al castigo por sus <hint=hint_crime>crímenes</hint>. ¡Es lo justo!
[hint_mind_remain_time]","[hint_mind_caption]
{name} musi otrzymać karę za swoje <hint=hint_crime>przestępstwa</hint>. Żądam sprawiedliwości!
[hint_mind_remain_time]","[hint_mind_caption]
{name}必须为自己的<hint=hint_crime>罪行</hint>接受惩罚！这是伸张正义！
[hint_mind_remain_time]","[hint_mind_caption]
{name}要為他們犯下的<hint=hint_crime>罪</hint>受罰，否則天理不容！
[hint_mind_remain_time]","[hint_mind_caption]
{name}は自らの<hint=hint_crime>犯罪</hint>の罰を受けるべきだ。これが正義！
[hint_mind_remain_time]","[hint_mind_caption]
{name}은(는) <hint=hint_crime>범죄</hint>를 저질렀으니 반드시 처벌을 받아야 해. 그게 정의지!
[hint_mind_remain_time]","[hint_mind_caption]
{name} muss für die begangenen <hint=hint_crime>Verbrechen</hint> bestraft werden. Im Sinne der Gerechtigkeit!
[hint_mind_remain_time]","[hint_mind_caption]
{name} doit répondre de ses <hint=hint_crime>crimes</hint>, au nom de la justice !
[hint_mind_remain_time]","[hint_mind_caption]
{name} deve subire una punizione per i <hint=hint_crime>crimini</hint> commessi. In nome della giustizia!
[hint_mind_remain_time]","[hint_mind_caption]
{name}, <hint=hint_crime>suçlarının</hint> cezasını çekmeli. Adalet sağlansın!
[hint_mind_remain_time]","[hint_mind_caption]
{name} meg kell bűnhődjön a <hint=hint_crime>bűneiért</hint>. Ez a törvény!
[hint_mind_remain_time]","[hint_mind_caption]
{name} має понести покарання за <hint=hint_crime>злочини</hint>. Це справедливо!
[hint_mind_remain_time]"
hint_mind_crime_punished,,"[hint_mind_caption]
Я был <hint=hint_punish>наказан</hint>! 
[hint_mind_remain_time]","[hint_mind_caption]
I have been <hint=hint_punish>punished</hint>!
[hint_mind_remain_time]","[hint_mind_caption]
I have been <hint=hint_punish>punished</hint>!
[hint_mind_remain_time]","[hint_mind_caption]
Stihl mě <hint=hint_punish>trest</hint>!
[hint_mind_remain_time]","[hint_mind_caption]
Eu recebi uma <hint=hint_punish>Punição</hint>!
[hint_mind_remain_time]","[hint_mind_caption]
¡Me han <hint=hint_punish>castigado</hint>!
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_punish>Ukarano</hint> mnie!
[hint_mind_remain_time]","[hint_mind_caption]
我受到了<hint=hint_punish>惩罚</hint>！
[hint_mind_remain_time]","[hint_mind_caption]
我已經受到<hint=hint_punish>責罰</hint>了！
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_punish>処罰</hint>されたんだ！
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_punish>처벌을 받았어</hint>!
[hint_mind_remain_time]","[hint_mind_caption]
Ich wurde <hint=hint_punish>bestraft</hint>!
[hint_mind_remain_time]","[hint_mind_caption]
J'ai subi un <hint=hint_punish>châtiment</hint> !
[hint_mind_remain_time]","[hint_mind_caption]
Ho subito una <hint=hint_punish>punizione</hint>!
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_punish>Cezalandırıldım</hint>!
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_punish>Megfenyítettek</hint>!
[hint_mind_remain_time]","[hint_mind_caption]
Мене було <hint=hint_punish>покарано</hint>!
[hint_mind_remain_time]"
hint_mind_crime_unfairly_punished,,"[hint_mind_caption]
Я был <hint=hint_punish>наказан</hint> ни за что! Все знают это!
[hint_mind_remain_time]","[hint_mind_caption]
I have been <hint=hint_punish>punished</hint> for nothing! Everyone knows it!
[hint_mind_remain_time]","[hint_mind_caption]
I have been <hint=hint_punish>punished</hint> for nothing! Everyone knows it!
[hint_mind_remain_time]","[hint_mind_caption]
Stihl mě <hint=hint_punish>trest</hint> a pro nic za nic! Všichni to vědí!
[hint_mind_remain_time]","[hint_mind_caption]
Eu recebi uma <hint=hint_punish>Punição</hint> sem motivo! Todos sabem disso!
[hint_mind_remain_time]","[hint_mind_caption]
¡Me han <hint=hint_punish>castigado</hint> por nada! ¡Lo sabe todo el mundo!
[hint_mind_remain_time]","[hint_mind_caption]
Niesłusznie mnie <hint=hint_punish>ukarano</hint>! Każdy to wie!
[hint_mind_remain_time]","[hint_mind_caption]
我什么也没做，却受到了<hint=hint_punish>惩罚</hint>！众人皆知我是无辜的！
[hint_mind_remain_time]","[hint_mind_caption]
我白白遭受<hint=hint_punish>責罰</hint>！諸位心知肚明！
[hint_mind_remain_time]","[hint_mind_caption]
無実の罪で<hint=hint_punish>処罰</hint>されたんだ！そのことをみんな知ってるぞ！
[hint_mind_remain_time]","[hint_mind_caption]
난 아무 짓도 안 했는데 <hint=hint_punish>처벌을 받았어</hint>! 내가 억울하다는 건 모두가 안다고!
[hint_mind_remain_time]","[hint_mind_caption]
Ich wurde <hint=hint_punish>bestraft</hint>, obwohl ich unschuldig bin! Alle wissen das!
[hint_mind_remain_time]","[hint_mind_caption]
J'ai subi un <hint=hint_punish>châtiment</hint> pour un crime que je n'ai pas commis ! Tout le monde est au courant de mon innocence !
[hint_mind_remain_time]","[hint_mind_caption]
Ho subito una <hint=hint_punish>punizione</hint> ingiusta! Lo sanno tutti!
[hint_mind_remain_time]","[hint_mind_caption]
Yok yere <hint=hint_punish>cezalandırıldım</hint>! Herkes bunu biliyor!
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_punish>Megfenyítettek</hint> a semmiért! És mindenki tudja!
[hint_mind_remain_time]","[hint_mind_caption]
Мене було <hint=hint_punish>покарано</hint> ні за що! Усі це знають!
[hint_mind_remain_time]"
hint_mind_crime_victim,,"[hint_mind_caption]
Это чувство беспомощности отвратительно... Неприятно быть жертвой <hint=hint_crime>преступления</hint>!
[hint_mind_remain_time]","[hint_mind_caption]
This feeling of helplessness is awful... It's unpleasant to be a victim of a <hint=hint_crime>crime</hint>!
[hint_mind_remain_time]","[hint_mind_caption]
This feeling of helplessness is awful... It's unpleasant to be a victim of a <hint=hint_crime>crime</hint>!
[hint_mind_remain_time]","[hint_mind_caption]
Ten pocit bezmoci je příšerný... Je hrozné být obětí <hint=hint_crime>zločinu</hint>!
[hint_mind_remain_time]","[hint_mind_caption]
Esse sentimento de incapacidade é terrível... Como é ruim ser vítima de um <hint=hint_crime>Crime</hint>!
[hint_mind_remain_time]","[hint_mind_caption]
Este sentimiento de impotencia es horrible... ¡Qué desgracia es ser víctima de un <hint=hint_crime>crimen</hint>!
[hint_mind_remain_time]","[hint_mind_caption]
To uczucie bezsilności jest okropne… Nikt nie lubi padać ofiarą <hint=hint_crime>przestępstw</hint>!
[hint_mind_remain_time]","[hint_mind_caption]
无助的感受太糟糕了……作为<hint=hint_crime>犯罪</hint>受害者真不好受！
[hint_mind_remain_time]","[hint_mind_caption]
這種無助感真是可怕……成為犯罪<hint=hint_crime>受害者</hint>實在令人不快！
[hint_mind_remain_time]","[hint_mind_caption]
なんてひどい無力感... <hint=hint_crime>犯罪</hint>の被害者になるなんて不愉快なんだ！
[hint_mind_remain_time]","[hint_mind_caption]
이 무력감은 정말 끔찍해... <hint=hint_crime>범죄</hint>의 피해자가 되다니 불쾌하군!
[hint_mind_remain_time]","[hint_mind_caption]
Dieses Gefühl der Hilflosigkeit ... Es ist wirklich nicht angenehm, Opfer eines <hint=hint_crime>Verbrechens</hint> zu werden!
[hint_mind_remain_time]","[hint_mind_caption]
Ce sentiment d'impuissance est insupportable… C'est terrible d'être victime d'un <hint=hint_crime>crime</hint> !
[hint_mind_remain_time]","[hint_mind_caption]
Questa sensazione di impotenza è terribile... È spiacevole essere vittima di un <hint=hint_crime>crimine</hint>!
[hint_mind_remain_time]","[hint_mind_caption]
Acizlik korkunç bir his... <hint=hint_crime>Suç kurbanı</hint> olmak çok kötü!
[hint_mind_remain_time]","[hint_mind_caption]
Szörnyű ez a tehetetlenségérzés… De szörnyű egy <hint=hint_crime>bűntett</hint> áldozatának lenni!
[hint_mind_remain_time]","[hint_mind_caption]
Це відчуття безпорадності жахливе… Неприємно бути жертвою <hint=hint_crime>злочину</hint>!
[hint_mind_remain_time]"
hint_mind_deep_talk,,"[hint_mind_caption]
Что может быть лучше, чем <hint=hint_speech_friendly>дружеская беседа</hint>?
[hint_mind_remain_time]","[hint_mind_caption]
What could be better than a <hint=hint_speech_friendly>friendly conversation</hint>?
[hint_mind_remain_time]","[hint_mind_caption]
What could be better than a <hint=hint_speech_friendly>friendly conversation</hint>?
[hint_mind_remain_time]","[hint_mind_caption]
Co může být lepšího než <hint=hint_speech_friendly>přátelský rozhovor</hint>?
[hint_mind_remain_time]","[hint_mind_caption]
O que poderia ser melhor do que uma <hint=hint_speech_friendly>Conversa Amigável</hint>?
[hint_mind_remain_time]","[hint_mind_caption]
¿Qué podría ser mejor que una <hint=hint_speech_friendly>conversación amistosa</hint>?
[hint_mind_remain_time]","[hint_mind_caption]
Nie ma nic lepszego niż <hint=hint_speech_friendly>przyjazna rozmowa</hint>.
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_speech_friendly>友好交流</hint>是最令人愉悦的！
[hint_mind_remain_time]","[hint_mind_caption]
來場<hint=hint_speech_friendly>友善的對話</hint>最棒了對吧？
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_speech_friendly>友好的な会話</hint>に勝るものなんてないだろ？
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_speech_friendly>친밀한 대화</hint>보다 더 좋은 게 있을까?
[hint_mind_remain_time]","[hint_mind_caption]
Was könnte schöner sein als ein <hint=hint_speech_friendly>freundschaftliches</hint> Gespräch?
[hint_mind_remain_time]","[hint_mind_caption]
Qu'y a-t-il de mieux qu'une <hint=hint_speech_friendly>conversation amicale</hint> ?
[hint_mind_remain_time]","[hint_mind_caption]
Cosa c'è di meglio di una <hint=hint_speech_friendly>conversazione amichevole</hint>?
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_speech_friendly>Arkadaş canlısı bir sohbetten</hint> iyi ne olabilir?
[hint_mind_remain_time]","[hint_mind_caption]
Mi lehet jobb egy <hint=hint_speech_friendly>baráti beszélgetésnél</hint>?
[hint_mind_remain_time]","[hint_mind_caption]
Що може бути краще за <hint=hint_speech_friendly>дружню розмову</hint>?
[hint_mind_remain_time]"
hint_mind_dice_of_fate_bad_luck,,"[hint_mind_caption]
Плохое сочетание! Плохое сочетание! 
[hint_mind_remain_time]","[hint_mind_caption]
Bad combination! Bad combination!
[hint_mind_remain_time]","[hint_mind_caption]
Bad combination! Bad combination!
[hint_mind_remain_time]","[hint_mind_caption]
Špatná kombinace! Špatná kombinace!
[hint_mind_remain_time]","[hint_mind_caption]
Que má sorte! Que má sorte!
[hint_mind_remain_time]","[hint_mind_caption]
¡Mala combinación! ¡Mala combinación!
[hint_mind_remain_time]","[hint_mind_caption]
Ale niefart! Ale niefart!
[hint_mind_remain_time]","[hint_mind_caption]
倒霉！倒霉！
[hint_mind_remain_time]","[hint_mind_caption]
爛組合！爛組合！
[hint_mind_remain_time]","[hint_mind_caption]
最悪！最低の組み合わせだ！
[hint_mind_remain_time]","[hint_mind_caption]
나쁜 조합이야! 나쁜 조합이라고!
[hint_mind_remain_time]","[hint_mind_caption]
Schlechte Kombination! Schlechte Kombination!
[hint_mind_remain_time]","[hint_mind_caption]
Alors ça, c'est un très mauvais lancer !
[hint_mind_remain_time]","[hint_mind_caption]
Pessima combinazione! Pessima combinazione!
[hint_mind_remain_time]","[hint_mind_caption]
Bu olmadı! Bu olmadı!
[hint_mind_remain_time]","[hint_mind_caption]
Rossz kombináció! Rossz kombináció!
[hint_mind_remain_time]","[hint_mind_caption]
Погана комбінація! Погана!
[hint_mind_remain_time]"
hint_mind_dice_of_fate_luck,,"[hint_mind_caption]
Святая София благоволит мне!
[hint_mind_remain_time]","[hint_mind_caption]
Mother Sophia favors me!
[hint_mind_remain_time]","[hint_mind_caption]
Mother Sophia favors me!
[hint_mind_remain_time]","[hint_mind_caption]
Matka Sofie mi přeje!
[hint_mind_remain_time]","[hint_mind_caption]
A Mãe Sofia está ao meu favor!
[hint_mind_remain_time]","[hint_mind_caption]
¡La Madre Sophia me sonríe!
[hint_mind_remain_time]","[hint_mind_caption]
Święta Zofia nade mną czuwa!
[hint_mind_remain_time]","[hint_mind_caption]
圣母索菲亚庇佑着我！
[hint_mind_remain_time]","[hint_mind_caption]
聖母索菲亞垂青於我！
[hint_mind_remain_time]","[hint_mind_caption]
聖母ソフィアからのお恵みだ！
[hint_mind_remain_time]","[hint_mind_caption]
성모 소피아께서 내게 은총을 내리시네!
[hint_mind_remain_time]","[hint_mind_caption]
Ich stehe in der Gunst von Mutter Sophia!
[hint_mind_remain_time]","[hint_mind_caption]
Mère Sophia est de mon côté !
[hint_mind_remain_time]","[hint_mind_caption]
Madre Sofia è dalla mia parte!
[hint_mind_remain_time]","[hint_mind_caption]
Sophia Ana beni seviyor!
[hint_mind_remain_time]","[hint_mind_caption]
Szófia Anya szeret engem!
[hint_mind_remain_time]","[hint_mind_caption]
Мати Софія благоволить мені!
[hint_mind_remain_time]"
hint_mind_disease_death_inevitable,,"[hint_mind_caption]
Пора прощаться с этим миром... 
[hint_mind_remain_time]","[hint_mind_caption]
It's time to bid farewell to this world...
[hint_mind_remain_time]","[hint_mind_caption]
It's time to bid farewell to this world...
[hint_mind_remain_time]","[hint_mind_caption]
Nadešel čas rozloučit se s tímto světem...
[hint_mind_remain_time]","[hint_mind_caption]
É hora de dar adeus a este mundo...
[hint_mind_remain_time]","[hint_mind_caption]
Es hora de despedirme de este mundo...
[hint_mind_remain_time]","[hint_mind_caption]
Czas pożegnać się z tym światem…
[hint_mind_remain_time]","[hint_mind_caption]
该和这个世界说再见了……
[hint_mind_remain_time]","[hint_mind_caption]
是時候向這個世界永別了……
[hint_mind_remain_time]","[hint_mind_caption]
この世に別れを告げる時がやってきた...
[hint_mind_remain_time]","[hint_mind_caption]
이 세상에 작별을 고할 시간이군...
[hint_mind_remain_time]","[hint_mind_caption]
Es ist Zeit, dieser Welt Lebwohl zu sagen ...
[hint_mind_remain_time]","[hint_mind_caption]
L'heure est venue pour moi de quitter ce monde…
[hint_mind_remain_time]","[hint_mind_caption]
È ora di dire addio a questo mondo...
[hint_mind_remain_time]","[hint_mind_caption]
Bu dünyaya veda etmenin vakti geldi.
[hint_mind_remain_time]","[hint_mind_caption]
Ideje búcsút venni ettől a világtól…
[hint_mind_remain_time]","[hint_mind_caption]
Час попрощатися з цим світом…
[hint_mind_remain_time]"
hint_mind_disease_easy,,"[hint_mind_caption]
<hint=hint_sick>Болит</hint> неприятно, но вроде ничего страшного
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_sick>It hurts</hint>but it doesn't seem too serious.
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_sick>It hurts</hint>but it doesn't seem too serious.
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_sick>Bolí to</hint>, ale nevypadá to moc vážně.
[hint_mind_remain_time]","[hint_mind_caption]
Sinto <hint=hint_sick>Dor</hint>, mas não parece ser sério.
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_sick>Duele</hint>, pero no parece muy grave.
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_sick>Boli</hint>, ale chyba nie jest najgorzej.
[hint_mind_remain_time]","[hint_mind_caption]
虽然<hint=hint_sick>很疼</hint>，但好像并不太严重。
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_sick>會痛</hint>，但看來並不嚴重。
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_sick>痛みはあるが</hint>それほど深刻ではないようだ。
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_sick>아프긴</hint> 하지만, 아주 심하진 않아.
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_sick>Es tut weh</hint>, aber es scheint mir nicht sehr ernst zu sein.
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_sick>C'est douloureux</hint>, mais ça n'a pas l'air d'être si grave que ça.
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_sick>Fa male</hint>, ma non sembra una cosa grave.
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_sick>Canım yanıyor</hint> ama çok ciddi bir durum değil gibi.
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_sick>Fáj</hint>, de nem tűnik túl komolynak.
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_sick>Мені боляче,</hint>та я не думаю, що це серйозно.
[hint_mind_remain_time]"
hint_mind_disease_hard,,"[hint_mind_caption]
Святая София, эта <hint=hint_sick>боль</hint>! Надеюсь, я поправлюсь!
[hint_mind_remain_time]","[hint_mind_caption]
Holy Sophia, that <hint=hint_sick>pain</hint>! I hope I get better!
[hint_mind_remain_time]","[hint_mind_caption]
Holy Sophia, that <hint=hint_sick>pain</hint>! I hope I get better!
[hint_mind_remain_time]","[hint_mind_caption]
Svatá Sofie, to je <hint=hint_sick>bolest</hint>! Snad se mi to zlepší!
[hint_mind_remain_time]","[hint_mind_caption]
Santa Sofia, que <hint=hint_sick>Dor</hint>! Espero que eu melhore!
[hint_mind_remain_time]","[hint_mind_caption]
¡Santa Sophia, qué <hint=hint_sick>dolor</hint>! ¡Espero que mejore!
[hint_mind_remain_time]","[hint_mind_caption]
Święta Zofio, ależ to <hint=hint_sick>boli</hint>! Mam nadzieję, że wyzdrowieję!
[hint_mind_remain_time]","[hint_mind_caption]
圣索菲亚啊，<hint=hint_sick>疼</hint>死我了！祈求我能好起来！
[hint_mind_remain_time]","[hint_mind_caption]
聖索菲亞在上，真是<hint=hint_sick>痛</hint>死了！希望我會好起來！
[hint_mind_remain_time]","[hint_mind_caption]
聖母ソフィア、ああ<hint=hint_sick>この痛み</hint>から救いたまえ！早く良くなりたい！
[hint_mind_remain_time]","[hint_mind_caption]
성모 소피아시여, <hint=hint_sick>고통스럽습니다</hint>! 저를 낫게 해 주소서!
[hint_mind_remain_time]","[hint_mind_caption]
Heilige Sophia, dieser <hint=hint_sick>Schmerz</hint>! Hoffentlich geht es mir bald besser!
[hint_mind_remain_time]","[hint_mind_caption]
Sainte Sophia, quelle <hint=hint_sick>douleur</hint> ! J'espère aller mieux rapidement !
[hint_mind_remain_time]","[hint_mind_caption]
Madre Sofia, che <hint=hint_sick>dolore</hint>! Spero migliori!
[hint_mind_remain_time]","[hint_mind_caption]
Yüce Sophia, bu <hint=hint_sick>acı</hint> çok fena! Umarım iyileşirim!
[hint_mind_remain_time]","[hint_mind_caption]
Szent Szófia, micsoda <hint=hint_sick>fájdalom</hint>! Remélem, felgyógyulok!
[hint_mind_remain_time]","[hint_mind_caption]
Свята Софіє! Як <hint=hint_sick>боляче</hint>! Сподіваюся, мені стане краще!
[hint_mind_remain_time]"
hint_mind_drank,,"[hint_mind_caption]
Это чертовски хорошая <hint=hint_alcohol>выпивка</hint>Пиво</hint>! Может, выпить еще?

Причина: выпито алкоголя: {number}
[hint_mind_remain_time]","[hint_mind_caption]
This is damn good <hint=hint_alcohol>drink</hint>! Maybe I'll have another?

Reason: Alcohol consumed: {number}.
[hint_mind_remain_time]","[hint_mind_caption]
This is damn good <hint=hint_alcohol>drink</hint>! Maybe I'll have another?

Reason: Alcohol consumed: {number}.
[hint_mind_remain_time]","[hint_mind_caption]
To je zatraceně dobré <hint=hint_alcohol>pití</hint>! Možná si dám ještě.

Důvod: Konzumace alkoholu: {number}.
[hint_mind_remain_time]","[hint_mind_caption]
Essa <hint=hint_alcohol>Bebida</hint> é das boas! Talvez eu deva pegar mais uma?

Motivo: bebidas consumidas: {number}.
[hint_mind_remain_time]","[hint_mind_caption]
¡Esta <hint=hint_alcohol>bebida</hint> está de muerte! ¿Y si pido otra?

Motivo: alcohol consumido: {number}.
[hint_mind_remain_time]","[hint_mind_caption]
Ale dobry ten <hint=hint_alcohol>alkohol</hint>! Może jeszcze jednego?

Powód: spożyto alkohol: {number}.
[hint_mind_remain_time]","[hint_mind_caption]
这<hint=hint_alcohol>酒</hint>太棒了！我能再来一杯吗？

原因：喝下酒：{number}。
[hint_mind_remain_time]","[hint_mind_caption]
這杯<hint=hint_alcohol>酒</hint>真是香醇！也許我可以再來一杯？

原因：飲酒量：{number}。
[hint_mind_remain_time]","[hint_mind_caption]
なんてうまい<hint=hint_alcohol>飲み物</hint>なんだ！おかわりをもらっていいかな？

理由：酒を飲んだ：{number}
[hint_mind_remain_time]","[hint_mind_caption]
정말 끝내주는 <hint=hint_alcohol>술</hint>이로군! 한 잔 더 할까?

이유: 술 섭취: {number}.
[hint_mind_remain_time]","[hint_mind_caption]
Das ist ein verdammt gutes <hint=hint_alcohol>Getränk</hint>! Vielleicht trinke ich danach noch eines davon?

Grund: Alkohol konsumiert: {number}.
[hint_mind_remain_time]","[hint_mind_caption]
Ce <hint=hint_alcohol>breuvage</hint> est drôlement bon ! Je peux en avoir un autre ?
 
Raison : {number} verre(s) d'alcool consommé(s).
[hint_mind_remain_time]","[hint_mind_caption]
Questa <hint=hint_alcohol>bevanda</hint> è buonissima! Posso averne un'altra?

Motivo: consumo di alcolici: {number}.
[hint_mind_remain_time]","[hint_mind_caption]
Bu çok güzel bir <hint=hint_alcohol>içki</hint>! Bir bardak daha mı alsam?

Nedeni: Alkol tüketimi: {number}.
[hint_mind_remain_time]","[hint_mind_caption]
Ez átkozottul jó <hint=hint_alcohol>ital</hint>! Talán iszom még egyet!

Az oka: Alkoholfogyasztás: {number}.
[hint_mind_remain_time]","[hint_mind_caption]
Це до біса хороший <hint=hint_alcohol>напій</hint>! Думаю, я вип’ю ще.

Причина: споживання алкоголю в кількості {number}.
[hint_mind_remain_time]"
hint_mind_drank_nectar,,"[hint_mind_caption]
Чувствую необычайный прилив сил! <hint=hint_resource_nectar>Нектар</hint> творит чудеса!

Причина: выпито Нектара: {number}
[hint_mind_remain_time]","[hint_mind_caption]
I'm feeling an extraordinary surge of strength! <hint=hint_resource_nectar>Nectar</hint> works wonders!

Reason: Nectar consumed: {number}.
[hint_mind_remain_time]","[hint_mind_caption]
I'm feeling an extraordinary surge of strength! <hint=hint_resource_nectar>Nectar</hint> works wonders!

Reason: Nectar consumed: {number}.
[hint_mind_remain_time]","[hint_mind_caption]
Cítím nezvyklý nával síly! <hint=hint_resource_nectar>Nektar</hint> dělá divy!

Důvod: Konzumace nektaru: {number}.
[hint_mind_remain_time]","[hint_mind_caption]
Estou sentindo um ímpeto incrível de força! O <hint=hint_resource_nectar>Néctar</hint> realmente é uma maravilha!

Motivo: néctares consumidos: {number}.
[hint_mind_remain_time]","[hint_mind_caption]
¡Siento un extraordinario aumento de fuerza! ¡El <hint=hint_resource_nectar>néctar</hint> hace maravillas!

Motivo: néctar consumido: {number}.
[hint_mind_remain_time]","[hint_mind_caption]
Czuję niezwykły przypływ siły! <hint=hint_resource_nectar>Nektar</hint> czyni cuda!

Powód: spożyto nektar: {number}.
[hint_mind_remain_time]","[hint_mind_caption]
我感到浑身充满力量！<hint=hint_resource_nectar>蜜酿</hint>有奇效！

原因：喝下蜜酿：{number}。
[hint_mind_remain_time]","[hint_mind_caption]
我覺得自己力大無窮！<hint=hint_resource_nectar>蜜露</hint>的效果真棒！

原因：蜜露飲用量：{number}。
[hint_mind_remain_time]","[hint_mind_caption]
並外れた力が湧いてくるのを感じるぞ！<hint=hint_resource_nectar>ネクタル</hint>の力は素晴らしい！

理由：ネクタルを摂取した：{number}
[hint_mind_remain_time]","[hint_mind_caption]
엄청난 힘이 솟아나는 기분이야! <hint=hint_resource_nectar>넥타</hint>는 정말 굉장해!

이유: 넥타 섭취: {number}.
[hint_mind_remain_time]","[hint_mind_caption]
Ich fühle mich plötzlich so ungeheuer stark! <hint=hint_resource_nectar>Nektar</hint> wirkt echte Wunder!

Grund: Nektar konsumiert: {number}.
[hint_mind_remain_time]","[hint_mind_caption]
Je sens une forte puissance monter en moi ! Le <hint=hint_resource_nectar>nectar</hint> est un breuvage merveilleux !
 
Raison : {number} nectar(s) consommé(s).
[hint_mind_remain_time]","[hint_mind_caption]
Sento un'ondata di forza straordinaria! Il <hint=hint_resource_nectar>nettare</hint> fa miracoli!

Motivo: consumo di nettare: {number}.
[hint_mind_remain_time]","[hint_mind_caption]
Kendimi inanılmaz güçlü hissediyorum! <hint=hint_resource_nectar>Nektar</hint> çok işe yarıyor!

Nedeni: Nektar tüketimi: {number}.
[hint_mind_remain_time]","[hint_mind_caption]
Rendkívüli erőt érzek hirtelen magamban! A <hint=hint_resource_nectar>nektár</hint> csodákra képes!

Az oka: Nektárfogyasztás: {number}.
[hint_mind_remain_time]","[hint_mind_caption]
Я відчуваю надзвичайний прилив сил! <hint=hint_resource_nectar>Нектар</hint> творить дива!

Причина: споживання нектару в кількості {number}.
[hint_mind_remain_time]"
