Code,Comments,Comments,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian
hint_vassal_rebel_attack_win_letter_1,,,"~
Ты победил, и против моей воли я остаюсь твоим вассалом. Но клянусь Святой Софией, что моя борьба за свободу только начинается! И я нападу, когда ты совсем не будешь этого ожидать!","~
You have triumphed, and against my will, I remain your vassal. But I swear by the Holy Sophia, my fight for freedom has only just begun! And I will strike when you least expect it!","~
You have triumphed, and against my will, I remain your vassal. But I swear by the Holy Sophia, my fight for freedom has only just begun! And I will strike when you least expect it!","~
Jsi vítěz a já proti své vůli zůstávám tvým vazalem. Ale přísahám u svaté Sofie, že můj boj za svobodu sotva začal! A udeřím, až to budeš nejméně čekat!","~
Você triunfou e, contra a minha vontade, eu permaneço seu vassalo. Mas eu juro por Santa Sofia que minha luta pela liberdade está só começando! E eu atacarei quando você menos espera!","~
Has triunfado y, en contra de mi voluntad, sigo siendo tu vasallo. ¡Pero, por santa Sophia, que mi lucha por la libertad apenas ha comenzado! Y atacaré cuando menos lo esperes.","~
Triumfujesz, a ja wbrew swej woli pozostanę Twym wasalem. Ale przysięgam na Świętą Zofię, że moja walka o wolność dopiero się rozpoczęła! Uderzę, kiedy będziesz się tego najmniej spodziewać!","~
您胜利了，而我也不得不继续向您称臣。但我向圣索菲亚起誓，争取自由的斗争才刚刚开始！我会在您意想不到的时候再度举事的！","~
因為敗給了你，所以我不得不違背自身意願，繼續做你的附庸。但我以聖索菲亞之名起誓，我的自由之戰才剛剛開始！我會在你做夢都想不到的時候發動突襲！","～
あなたは勝利した。私の意志には反するが、あなたの従属国であり続ける。しかし、聖母ソフィアに誓って宣言しよう。自由のための戦いは始まったばかりだ！予期せぬ時に攻撃するつもりだ！","~
그대는 승리했고, 나로서는 어쩔 수 없이 봉신으로 남게 되었네. 하지만 성모 소피아의 이름으로 맹세하건대, 자유를 위한 투쟁은 이제 막 시작되었을 뿐이라네! 그대가 전혀 예상치 못한 순간에 공격할 테니 각오해 두게!","~
Du warst siegreich, und obwohl dies nicht meinem Willen entspricht, werde ich dein Vasall bleiben. Doch ich schwöre bei der Heiligen Sophia, dass mein Freiheitskampf gerade erst begonnen hat! Und ich werde zuschlagen, wenn du am wenigsten damit rechnest!","~ 
Vous avez vaincu. Contre ma volonté, je reste donc votre vassal. Je le jure devant Sainte Sophia, mon combat pour la liberté ne fait que commencer ! Et quand vous vous y attendrez le moins, je serai là !","~
Hai trionfato e io rimango un tuo vassallo, seppur contro la mia volontà. Ma che Madre Sofia mi sia testimone, la mia lotta per la libertà non è che all'inizio! E colpirò quando meno te lo aspetti!","~
Galip geldin ve isteğim dışında senin vasalın olmaya devam ediyorum ama Yüce Sophia şahidimdir, özgürlük savaşım yeni başlıyor! Hiç beklemediğin bir anda saldıracağım!","~
Győzedelmeskedtél, és akaratom ellenére a vazallusod maradok. De esküszöm Szent Szófiára, még csak most kezdődik a harc a szabadságomért! És akkor fogok lecsapni, amikor arra a legkevésbé számítasz!","~
Ви перемогли, і проти своєї волі я залишаюся вашим васалом. Але, клянуся Святою Софією, моя боротьба за свободу тільки почалася! І я вдарю, коли ви очікуватимете цього найменше!"
hint_vassal_rebel_attack_win_letter_2,,,"~
Сражаться с тем, кто слабее тебя, может каждый дурак! Может быть, сейчас я понёс потери, но наступит тот день, когда Святая София поможет мне одержать победу. И поверь мне, этот день настанет скоро, я тебе обещаю!","~
Battling someone weaker than yourself is something any fool can do! Perhaps I have suffered losses now, but the day will come when Holy Sophia will aid me in claiming victory. And believe me, that day will arrive soon, I promise you!","~
Battling someone weaker than yourself is something any fool can do! Perhaps I have suffered losses now, but the day will come when Holy Sophia will aid me in claiming victory. And believe me, that day will arrive soon, I promise you!","~
Bojovat s někým slabším dokáže každý hlupák! Možná že dnes pro mne boj skončil porážkou, ale přijde den, kdy mi svatá Sofie pomůže dosíci vítězství. A věř mi, že ten den nastane brzo, to ti slibuji!","~
Lutar contra alguém mais fraco do que você é algo qualquer tolo pode fazer! Talvez eu tenha sofrido algumas perdas agora, mas chegará o dia no qual Santa Sofia me ajudará em obter a vitória. E, acredite, esse dia chegará muito em breve, isso eu prometo!","~
Luchar contra alguien más débil es algo que cualquier necio puede hacer. Tal vez haya sufrido pérdidas ahora, pero llegará el día en que santa Sophia me ayude a alzarme con la victoria. Y créeme, ese día llegará pronto, ¡te lo prometo!","~
Każdy głupiec potrafi toczyć bitwy ze słabszymi! Może i poniosłem teraz dotkliwe straty, ale nadejdzie kiedyś taki dzień, że Święta Zofia obdarzy mnie zwycięstwem. Obiecuję Ci, że długo czekać nie będziesz!","~
坦率地说，连傻瓜都能在欺负弱者的战斗中取得胜利！虽然我现在遭受了损失，但总有一天，圣索菲亚会助我取得胜利。请相信我，那一天很快就会到来，走着瞧吧！","~
仗勢欺人非君子所為！雖然我現在不得不低頭，但總有一天聖索菲亞會幫助我取得勝利。相信我，那一天很快就會到來，你等著看吧！","～
自分より弱い者と戦うことは、愚か者にもできることだ！今、敗北を味わっているが、いつか聖母ソフィアが私に勝利をもたらすときが来るだろう。その日はすぐにやってくる、必ずだ！","~
자기보다 약한 자와 싸우는 건 바보라도 할 수 있는 일이지! 당장은 손해를 입었지만, 성모 소피아께서 언젠가는 내 승리를 축복하실 거라네. 반드시 그날이 올 테니 각오해 두게!","~
Einen Kampf gegen Unterlegene zu gewinnen kann jeder Tor bewerkstelligen! Ja, ich habe Verluste erlitten, doch es wird der Tag kommen, an dem mich die Heilige Sophia zum Sieg führen wird. Und glaub mir, dieser Tag ist bald, das verspreche ich!","~ 
Affronter quelqu'un de plus faible que soi est à la portée du premier idiot venu. J'ai certes perdu des hommes, mais un jour viendra où Sainte Sophia sera de mon côté et m'octroiera la victoire. Croyez-moi, ce jour n'est pas si distant. Je vous le jure !","~
Qualsiasi sciocco può affrontare un avversario più debole! Avrò anche sofferto molte perdite, ma verrà il giorno in cui Madre Sofia mi assisterà nel conquistare il mio trionfo. E ti assicuro che quel giorno arriverà presto!","~
Kendinden zayıf birine saldırmayı her aptal yapabilir! Kayıplar vermiş olabilirim ama Yüce Sophia'nın bana zafer bahşedeceği gün de gelecektir. O günler çok da uzak değil, inan bana!","~
Gyengébbek ellen bármely bolond képes harcolni! Lehet, hogy most veszteségeket szenvedtem el, de eljön a nap, amikor Szent Szófia segít kivívnom a győzelmet. És úgy hidd el, ez a nap hamarosan eljön, ezt megígérhetem!","~
Битися з кимось слабшим за себе? Це може кожен дурень! Можливо, зараз ми зазнали втрат, але прийде день, коли Свята Софія допоможе мені здобути перемогу. І, повірте мені, цей день скоро настане. Обіцяю!"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,To The Top,,,,,,,,,,,,,,,,,,
,!Shadow Actions,,,,,,,,,,,,,,,,,,
,ПОХИЩЕНИЕ,,,,,,,,,,,,,,,,,,
hint_bandits_description,,,"~
Успех зависит от навыков {skill_name_1} и {skill_name_2} исполнителя

{soul_uuid_performer} :
{skill_name_1} {skill_level_1} ур.
{skill_name_2} {skill_level_2} ур.

$ Шансы на успех: {chances}%

<b>Стоимость:</b> <hint=hint_resource_gold>{price}</hint>","~
Success depends on the {skill_name_1} and {skill_name_2} skills of the actor.

{soul_uuid_performer} :
{skill_name_1} {skill_level_1} lvl.
{skill_name_2} {skill_level_2} lvl.

$ Chances of success: {chances}%

<b>Cost:</b> <hint=hint_resource_gold>{price}</hint>","~
Success depends on the {skill_name_1} and {skill_name_2} skills of the actor.

{soul_uuid_performer} :
{skill_name_1} {skill_level_1} lvl.
{skill_name_2} {skill_level_2} lvl.

$ Chances of success: {chances}%

<b>Cost:</b> <hint=hint_resource_gold>{price}</hint>","~
Úspěch záleží na aktérově schopnostech {skill_name_1} a {skill_name_2}.

{soul_uuid_performer} :
{skill_name_1} na {skill_level_1}. úr.
{skill_name_2} na {skill_level_2} úr.

$ Šance na úspěch: {chances} %

<b>Cena:</b> <hint=hint_resource_gold>{price}</hint>","~
O sucesso depende das habilidades de {skill_name_1} e {skill_name_2} do agente.

{soul_uuid_performer}:
Habilidade de {skill_name_1} nv. {skill_level_1}
Habilidade de {skill_name_2} nv. {skill_level_2}

$ Chance de sucesso: {chances}%

<b>Custo:</b> <hint=hint_resource_gold>{price}</hint>","~
El éxito depende de las habilidades {skill_name_1} y {skill_name_2} del agente.

{soul_uuid_performer}:
{skill_name_1} a nivel {skill_level_1}.
{skill_name_2} a nivel {skill_level_2}.

$ Probabilidad de éxito: {chances} %

<b>Coste:</b> <hint=hint_resource_gold>{price}</hint>","~
Szanse powodzenia zależą od umiejętności {skill_name_1} i {skill_name_2} wykonawcy.

{soul_uuid_performer}:
{skill_name_1} {skill_level_1} poz.
{skill_name_2} {skill_level_2} poz.

$ Szanse powodzenia: {chances}%

<b>Koszt:</b> <hint=hint_resource_gold>{price}</hint>","~
能否成功取决于执行者的{skill_name_1}和{skill_name_2}技能。

{soul_uuid_performer}：
{skill_name_1}等级：{skill_level_1}。
{skill_name_2}等级：{skill_level_2}。

$成功率：{chances}%

<b>费用：</b><hint=hint_resource_gold>{price}</hint>","~
成功與否取決於執行者的{skill_name_1}及{skill_name_2}能力。

{soul_uuid_performer}：
{skill_name_1}等級 {skill_level_1}。
{skill_name_2}等級 {skill_level_2}。

$成功機率：{chances}%

<b>費用：</b><hint=hint_resource_gold>{price}</hint>","～
成功するかどうかは、キャラクターの{skill_name_1}と{skill_name_2}のスキルに左右されます。

{soul_uuid_performer}：
{skill_name_1}{skill_level_1}レベル
{skill_name_2} {skill_level_2}レベル

$成功する確率：{chances}%

<b>コスト：</b> <hint=hint_resource_gold>{price}</hint>","~
성공 여부는 행위자의 {skill_name_1} 및 {skill_name_2} 스킬에 따라 달라집니다.

{soul_uuid_performer} :
{skill_name_1} {skill_level_1} 레벨.
{skill_name_2} {skill_level_2} 레벨.

$ 성공 확률: {chances}%

<b>비용:</b> <hint=hint_resource_gold>{price}</hint>","~
Erfolg hängt von den Fähigkeiten {skill_name_1} und {skill_name_2} des Akteurs ab.

{soul_uuid_performer}:
{skill_name_1} {skill_level_1} St.
{skill_name_2} {skill_level_2} St.

$ Erfolgswahrscheinlichkeit: {chances} %

<b>Kosten:</b> <hint=hint_resource_gold>{price}</hint>","~ 
La réussite dépend de la compétence en {skill_name_1} et en {skill_name_2} du personnage. 

{soul_uuid_performer} : 
{skill_name_1} niv. {skill_level_1}
{skill_name_2} niv. {skill_level_2}

$ Chances de réussite : {chances} %
 
<b>Coût</b> : <hint=hint_resource_gold>{price}</hint>","~
Il successo dipende dalle abilità {skill_name_1} e {skill_name_2} dell'agente.

{soul_uuid_performer}: 
{skill_name_1} liv. {skill_level_1}
{skill_name_2} liv. {skill_level_2}

$ Probabilità di successo: {chances}%

<b>Costo:</b> <hint=hint_resource_gold>{price}</hint>","~
Başarı, karakterin {skill_name_1} ve {skill_name_2} becerilerine bağlıdır.

{soul_uuid_performer}:
{skill_level_1}. seviye {skill_name_1}
{skill_level_2}. seviye {skill_name_2}

$ Başarı ihtimali: %{chances}

<b>Maliyet:</b> <hint=hint_resource_gold>{price}</hint>","~
A siker az aktív karakter {skill_name_1} és {skill_name_2} képességén múlik.

{soul_uuid_performer} :
{skill_name_1} {skill_level_1}. sz.
{skill_name_2} {skill_level_2}. sz.

$ A siker esélye: {chances}%

<b>Költség:</b> <hint=hint_resource_gold>{price}</hint>","~
Успіх залежить від володіння виконавцем такими навичками: «{skill_name_1}» і «{skill_name_2}».

{soul_uuid_performer}:
«{skill_name_1}», рівень {skill_level_1}.
«{skill_name_2}», рівень {skill_level_2}.

$ Імовірність успіху: {chances}%

<b>Вартість:</b> <hint=hint_resource_gold>{price}</hint>"
hint_assassinate_gm_description,,,"Убийство лорда
Найм местных головорезов, для убийства выбранного персонажа.

$ Если пройдет удачно, персонаж будет убит.

В случае провала:
$ Отношения с {soul_uuid_king} : <red>{rel_de_assassinate}</red>
$ Отношения с Матриархом: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}

[hint_SENDER]","Lord's assassination
Hiring local cutthroats to assassinate a chosen lord.

$ If successful, the lord will be killed.

In case of failure:
$ Relationship with {soul_uuid_king}: <red>{rel_de_assassinate}</red>
$ Relationship with the Matriarch: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}

[hint_SENDER]","Lord's assassination
Hiring local cutthroats to assassinate a chosen lord.

$ If successful, the lord will be killed.

In case of failure:
$ Relationship with {soul_uuid_king}: <red>{rel_de_assassinate}</red>
$ Relationship with the Matriarch: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}

[hint_SENDER]","Atentát na lorda
Najmi si místní hrdlořezy kvůli atentátu na vybraného lorda.

$ V případě úspěchu bude lord zabit.

V případě neúspěchu:
$ Vztah s králem {soul_uuid_king}: <red>{rel_de_assassinate}</red>
$ Vztah s matriarchou: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}

[hint_SENDER]","Assassinato de um nobre
 Contratar facínoras locais para assassinar um membro da nobreza selecionado.

$ Se obtiver sucesso, o membro da nobreza morrerá.

Se falhar:
$ A relação com {soul_uuid_king}: <red>{rel_de_assassinate}</red>
$ Relação com a Matriarca: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}

[hint_SENDER]","Asesinar a un señor
Contrata criminales locales para asesinar a un señor elegido.

$ Si tiene éxito, el señor será asesinado.

En caso contrario:
$ Relación con {soul_uuid_king}: <red>{rel_de_assassinate}</red>
$ Relación con la matriarca: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}

[hint_SENDER]","Zabójstwo lorda
Zatrudnienie lokalnych zbójów do zabicia wskazanego lorda.

$ Jeśli akcja się powiedzie, lord zginie.

W przypadku niepowodzenia:
$ Stosunki z {soul_uuid_king}: <red>{rel_de_assassinate}</red>
$ Stosunki z Matroną: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}

[hint_SENDER]","暗杀领主
雇佣当地的刺客去刺杀一位选定的领主。

$若刺杀成功，则该领主死亡。

若刺杀失败：
$与{soul_uuid_king}的关系：<red>{rel_de_assassinate}</red>
$与女教皇的关系：<red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}

[hint_SENDER]","刺殺貴族
雇用當地刺客暗殺指定貴族。

$若成功則該貴族將遇刺身亡。

失敗後果：
$與{soul_uuid_king}的關係值：<red>{rel_de_assassinate}</red>
$與國母的關係值：<red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}

[hint_SENDER]","領主の暗殺
地元の殺し屋を雇って、選んだ領主を暗殺させます。

$成功すれば、領主は殺されます。

失敗した場合：
${soul_uuid_king}との関係性：<red>{rel_de_assassinate}</red>
$女家長との関係性：<red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}

[hint_SENDER]","영주 암살
지역 흉악범을 고용해 선택한 영주를 암살합니다.

$ 성공하면 영주가 살해됩니다.

실패하는 경우:
$ {soul_uuid_king}와(과)의 관계: <red>{rel_de_assassinate}</red>
$ 총대주교와의 관계: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}

[hint_SENDER]","Attentat auf einen Lord
Heuere einheimische Handlanger an, um einen auserwählten Lord zu ermorden.

$ Wenn das Attentat erfolgreich verläuft, wird dieser Lord getötet.

Im Falle eines Scheiterns:
$ Beziehungen zu {soul_uuid_king}: <red>{rel_de_assassinate}</red>
$ Beziehungen zur Matriarchin: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}

[hint_SENDER]","Assassinat de noble 
Engagez des coupe-jarrets locaux pour assassiner un seigneur ou une dame.

$ En cas de réussite, le personnage ciblé sera tué.
 
En cas d'échec :
$ Relation avec {soul_uuid_king} <red>{rel_de_assassinate}</red>
$ Relation avec la Matriarche <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}

[hint_SENDER]","Assassinio di un nobile
Assoldi alcuni malviventi locali per assassinare il nobile selezionato.

$ Se ha esito positivo, il nobile viene ucciso.

In caso di fallimento:
$ Rapporto con {soul_uuid_king}: <red>{rel_de_assassinate}</red>
$ Rapporto con la matriarca: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}

[hint_SENDER]","Asilzadeye suikast
Seçilen asilzadeye suikast düzenlemesi için yerli eşkıyaları kirala.

$ Başarılı olurlarsa asilzade ölür.

Başarısız olurlarsa:
$ {soul_uuid_king} ile ilişkiler: <red>{rel_de_assassinate}</red>
$ Maderşah ile ilişkiler: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}

[hint_SENDER]","Nemes meggyilkolása
Merénylet egy kiválasztott nemes ellen a helyi brigantik felfogadásával.

$ Ha sikerül, a nemes meghal.

Kudarc esetén:
$ Kapcsolat {soul_uuid_king} uralkodóval: <red>{rel_de_assassinate}</red>
$ Kapcsolat a Mátriárkával: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}

[hint_SENDER]","Вбивство вельможі
Наймання місцевих головорізів для вбивства вельможі.

$ У разі успіху вельможу буде вбито.

У разі поразки:
$ Взаємини з монархом {soul_uuid_king}: <red>{rel_de_assassinate}</red>
$ Взаємини з Матріархом: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}

[hint_SENDER]"
hint_assassinate_gm_person_select,,,"Заказать убийство
[hint_bandits_description]
{optional_holy_defence_will_removed}","Order an assassination
[hint_bandits_description]
{optional_holy_defence_will_removed}","Order an assassination
[hint_bandits_description]
{optional_holy_defence_will_removed}","Objednat atentát
[hint_bandits_description]

{optional_holy_defence_will_removed}","Ordene um assassinato
[hint_bandits_description]
{optional_holy_defence_will_removed}","Ordenar un asesinato
[hint_bandits_description]

{optional_holy_defence_will_removed}","Zleć zabójstwo
[hint_bandits_description]

{optional_holy_defence_will_removed}","发出暗杀指令
[hint_bandits_description]
{optional_holy_defence_will_removed}","下令刺殺
[hint_bandits_description]
{optional_holy_defence_will_removed}","暗殺命令
[hint_bandits_description]
{optional_holy_defence_will_removed}","암살 명령
[hint_bandits_description]
{optional_holy_defence_will_removed}","Attentat befehlen
[hint_bandits_description]
{optional_holy_defence_will_removed}","Ordre d'assassinat
[hint_bandits_description]
{optional_holy_defence_will_removed}","Ordine di assassinio
[hint_bandits_description]
{optional_holy_defence_will_removed}","Suikast Emri Ver
[hint_bandits_description]
{optional_holy_defence_will_removed}","Merénylet elrendelése
[hint_bandits_description]

{optional_holy_defence_will_removed}","Замовити вбивство
[hint_bandits_description]

{optional_holy_defence_will_removed}"
hint_assassinate_gm_success,,,"Убийство удалось!
{soul_uuid_assassinate_target} был зарезан ночью в собственной постели.","The assassination was successful!
{soul_uuid_assassinate_target} was stabbed to death in their own bed at night.","The assassination was successful!
{soul_uuid_assassinate_target} was stabbed to death in their own bed at night.","Atentát byl úspěšný!
Lord {soul_uuid_assassinate_target} byl v noci ubodán k smrti ve vlastní posteli.","O assassinato foi um sucesso!
{soul_uuid_assassinate_target} morreu por facadas em sua própria cama durante a noite.","¡El asesinato ha tenido éxito!
Han apuñalado hasta la muerte a {soul_uuid_assassinate_target} en su propia cama por la noche.","Zabójstwo się udało!
{soul_uuid_assassinate_target} ginie od ciosu sztyletem w swoim łóżku w nocy.","暗杀成功！
{soul_uuid_assassinate_target}在睡梦中被人乱刀刺死。","刺殺成功！
深夜，{soul_uuid_assassinate_target}在睡夢中遭人刺死。","暗殺に成功した！
{soul_uuid_assassinate_target}は夜、自分の寝床で刺し殺されました。","암살에 성공했습니다!
{soul_uuid_assassinate_target}이(가) 밤중에 칼에 찔려 자기 침대에서 사망했습니다.","Das Attentat war erfolgreich!
{soul_uuid_assassinate_target} wurde nachts im eigenen Bett erstochen.","L'assassinat a réussi !
{soul_uuid_assassinate_target} a reçu un coup de couteau fatal dans son propre lit, en plein milieu de la nuit.","Assassinio riuscito!
I malviventi hanno pugnalato {soul_uuid_assassinate_target} a morte nel suo letto durante la notte.","Suikast başarılı oldu!
{soul_uuid_assassinate_target}, gece yatağında bıçaklanarak öldürüldü.","A merénylet sikerült!
{soul_uuid_assassinate_target} éjjel, a saját ágyában kapta a halálos döfést.","Вбивство вдалося!
{soul_uuid_assassinate_target} гине від кинджала вночі у власному ліжку."
hint_assassinate_gm_fail,,,"Убийство провалилось
{soul_uuid_assassinate_target} смог защититься от нанятых вами головорезов и все они были убиты.

$ Отношения с {soul_uuid_king} : <red>{rel_de_assassinate}</red>
$ Отношения с Матриархом: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}","The assassination has failed
{soul_uuid_assassinate_target} managed to defend themselves against the hired assassins, and all of them were killed.

$ Relationship with {soul_uuid_king}: <red>{rel_de_assassinate}</red>
$ Relationship with the Matriarch: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}","The assassination has failed
{soul_uuid_assassinate_target} managed to defend themselves against the hired assassins, and all of them were killed.

$ Relationship with {soul_uuid_king}: <red>{rel_de_assassinate}</red>
$ Relationship with the Matriarch: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}","Atentát se nezdařil
Lord {soul_uuid_assassinate_target} se proti najatým vrahům dokázal ubránit, všichni byli zabiti.

$ Vztah s králem {soul_uuid_king}: <red>{rel_de_assassinate}</red>
$ Vztah s matriarchou: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}","O assassinato falhou
{soul_uuid_assassinate_target} conseguiu se defender contra os assassinos contratados e todos eles foram mortos.

$ Relação com {soul_uuid_king}: <red>{rel_de_assassinate}</red>
$ Relação com a Matriarca: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}","El asesinato ha fracasado
{soul_uuid_assassinate_target} logró defenderse de los asesinos a sueldo, y los han matado a todos.

$ Relación con {soul_uuid_king}: <red>{rel_de_assassinate}</red>
$ Relación con la matriarca: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}","Zabójstwo się nie udało
{soul_uuid_assassinate_target} broni się przed atakiem skrytobójców, którzy zginęli podczas akcji.

$ Stosunki z {soul_uuid_king}: <red>{rel_de_assassinate}</red>
$ Stosunki z Matroną: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}","暗杀失败
{soul_uuid_assassinate_target}拼命抵抗，杀死了所有刺客。

$与{soul_uuid_king}的关系：<red>{rel_de_assassinate}</red>
$与女教皇的关系：<red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}","刺殺失敗
{soul_uuid_assassinate_target}成功擊退受雇的刺客，將其全數殲滅。

$與{soul_uuid_king}的關係值：<red>{rel_de_assassinate}</red>
$與國母的關係值：<red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}","暗殺に失敗した
{soul_uuid_assassinate_target}は雇われた暗殺者から身を守ることに成功し、暗殺者全員が殺されました。

${soul_uuid_king}との関係性：<red>{rel_de_assassinate}</red>
$女家長との関係性：<red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}","암살에 실패했습니다
{soul_uuid_assassinate_target}이(가) 고용된 암살자들을 막아냈고, 암살자들은 모두 살해당했습니다.

$ {soul_uuid_king}와(과)의 관계: <red>{rel_de_assassinate}</red>
$ 총대주교와의 관계: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}","Das Attentat ist gescheitert
{soul_uuid_assassinate_target} konnte sich gegen die angeheuerten Handlanger verteidigen und alle von ihnen fanden den Tod.

$ Beziehungen zu: {soul_uuid_king}: <red>{rel_de_assassinate}</red>
$ Beziehungen zur Matriarchin: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}","L'assassinat a échoué
{soul_uuid_assassinate_target} a réussi à se défendre face aux assassins et à les éliminer.

$ Relation avec {soul_uuid_king} <red>{rel_de_assassinate}</red>
$ Relation avec la Matriarche <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}","Assassinio fallito
{soul_uuid_assassinate_target} ha saputo difendersi contro gli assassini, i quali sono stati tutti uccisi.

$ Rapporto con {soul_uuid_king}: <red>{rel_de_assassinate}</red>
$ Rapporto con la matriarca: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}","Suikast başarısız oldu.
{soul_uuid_assassinate_target} kendini, suikastçılara karşı savunmayı başardı ve suikastçıların hepsi öldü.

$ {soul_uuid_king} ile ilişkiler: <red>{rel_de_assassinate}</red>
$ Maderşah ile ilişkiler: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}","A merénylet kudarcot vallott
{soul_uuid_assassinate_target} sikeresen megvédte magát a bérgyilkosok ellen, és mindannyiukat megölte.

$ Kapcsolat {soul_uuid_king} uralkodóval: <red>{rel_de_assassinate}</red>
$ Kapcsolat a Mátriárkával: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}","Вбивство не вдалося
{soul_uuid_assassinate_target} захищається від найманих головорізів – всі вони були вбиті.

$ Взаємини з монархом {soul_uuid_king}: <red>{rel_de_assassinate}</red>
$ Взаємини з Матріархом: <red>{rel_de_neigh_assassinate}</red>
{optional_holy_defence_will_removed}"
